isoform_id	gene_id	counts_E65	counts_E75	counts_E85	prop_E65	prop_E75	prop_E85	prop_diff_E65_E85	trend	gene_name
ENSMUST00000150460	ENSMUSG00000068205	7.64307329809739	9.70913855064484	16.1324019450599	0.112182889187533	0.22170906356088	0.915322023353382	0.803139134165849	increasing	Macrod2
ENSMUST00000110062	ENSMUSG00000068205	60.4873996595092	34.0831106010403	1.49243558037961	0.887817110812467	0.77829093643912	0.0846779766466185	-0.803139134165848	decreasing	Macrod2
ENSMUST00000136031	ENSMUSG00000029772	38.3535802113684	5.15101319244434	0.640117143432784	0.872291954747137	0.331429608872225	0.0696880870728834	-0.802603867674254	decreasing	Ahcyl2
ENSMUST00000201282	ENSMUSG00000029772	5.61516213761552	10.3907883079466	8.54534295914281	0.127708045252863	0.668570391127775	0.930311912927117	0.802603867674254	increasing	Ahcyl2
ENSMUST00000033269	ENSMUSG00000030970	222.745689088059	224.645331256805	6.33853237052285	0.926923104490274	0.798292008628685	0.125264335523041	-0.801658768967233	decreasing	Ctbp2
ENSMUST00000207563	ENSMUSG00000003435	110.263498405801	57.1323212023561	5.42172151127785	0.962458604555616	0.661762906676197	0.162186784133453	-0.800271820422162	decreasing	Supt5
ENSMUST00000209141	ENSMUSG00000003435	3.74457017319968	18.8999864008095	27.745966774717	0.032685284211595	0.218918287818918	0.830000049708268	0.797314765496673	increasing	Supt5
ENSMUST00000044923	ENSMUSG00000041645	110.903997664385	8.21891906298847	90.3437862187494	0.191306776212044	0.671094129276929	0.98756042688077	0.796253650668726	increasing	Ddx24
ENSMUST00000220705	ENSMUSG00000041645	468.814085826079	4.02812454003627	1.13799429781311	0.808693223787956	0.328905870723071	0.0124395731192298	-0.796253650668726	decreasing	Ddx24
ENSMUST00000031640	ENSMUSG00000029635	4.07531161074792	24.3284150468208	9.21326905335443	0.113988726274731	0.712493557626871	0.905931990503716	0.791943264228986	increasing	Cdk8
ENSMUST00000161181	ENSMUSG00000029635	31.6765714388598	9.81703761923887	0.956665500156225	0.886011273725269	0.287506442373129	0.0940680094962839	-0.791943264228986	decreasing	Cdk8
ENSMUST00000173199	ENSMUSG00000071454	31.9648847903321	13.3071442122868	6.23088150883461	0.980454023277686	0.332482951020351	0.190541826421222	-0.789912196856464	decreasing	Dtnb
ENSMUST00000128187	ENSMUSG00000029328	321.017119268231	388.165780472134	23.505089580596	0.830363162970886	0.731927698221868	0.0417218807008773	-0.788641282270009	decreasing	Hnrnpdl
ENSMUST00000084027	ENSMUSG00000031565	2.27770410379182	17.1998462195869	2.64448877432158	0.950155971921836	0.652638238148083	0.169510462968823	-0.780645508953013	decreasing	Fgfr1
ENSMUST00000178276	ENSMUSG00000031565	0.119485590427344	9.15448794935934	12.9562518997686	0.0498440280781635	0.347361761851917	0.830489537031177	0.780645508953013	increasing	Fgfr1
ENSMUST00000206219	ENSMUSG00000030660	29.8040954380269	45.6309316399331	0.592068455319072	0.835169092651083	0.583754512429964	0.0552262531463222	-0.779942839504761	decreasing	Pik3c2a
ENSMUST00000068664	ENSMUSG00000032340	25.3630628658844	6.59597335798196	8.98972307559959	0.952148698422156	0.888401994572512	0.176089692375268	-0.776059006046888	decreasing	Neo1
ENSMUST00000214547	ENSMUSG00000032340	1.27464919307713	0.828563505148185	42.0622320634976	0.0478513015778438	0.111598005427488	0.823910307624732	0.776059006046888	increasing	Neo1
ENSMUST00000165953	ENSMUSG00000024369	9.97643652942187	93.8141759576473	138.914340503438	0.0592251790751044	0.775725565788073	0.832332612456559	0.773107433381455	increasing	Nelfe
ENSMUST00000173357	ENSMUSG00000024369	158.472805587189	27.1231504566753	27.9832896320004	0.940774820924896	0.224274434211927	0.167667387543441	-0.773107433381455	decreasing	Nelfe
ENSMUST00000172906	ENSMUSG00000035569	9.32306371182788	134.405051174189	174.858086278314	0.0919481706832733	0.771269029892338	0.856157825169768	0.764209654486495	increasing	Ankrd11
ENSMUST00000110043	ENSMUSG00000020453	0.791635704131608	41.0635718182763	42.2152793248859	0.0229375423792015	0.333012604208806	0.784836291646924	0.761898749267723	increasing	Patz1
ENSMUST00000225529	ENSMUSG00000024983	2.48195333229476	21.2158171588981	32.6291179391457	0.1373622071642	0.559957809071931	0.897528413958141	0.760166206793941	increasing	Vti1a
