gene_id	n_reads	n_amb	gid	gname	overlapped	rescue_frac
ENSG00000005884	72753	0.0	ENSG00000005884	ITGA3	False	0.0
ENSG00000005889	109549	15.0	ENSG00000005889	ZFX	True	0.00013692502898246447
ENSG00000005893	161845	0.0	ENSG00000005893	LAMP2	False	0.0
ENSG00000005961	21344	0.0	ENSG00000005961	ITGA2B	False	0.0
ENSG00000005981	809	0.0	ENSG00000005981	ASB4	False	0.0
ENSG00000006007	62292	0.0	ENSG00000006007	GDE1	False	0.0
ENSG00000006015	208561	0.0	ENSG00000006015	REX1BD	False	0.0
ENSG00000006016	5289	0.0	ENSG00000006016	CRLF1	False	0.0
ENSG00000006025	21790	0.0	ENSG00000006025	OSBPL7	False	0.0
ENSG00000006042	27780	0.0	ENSG00000006042	TMEM98	False	0.0
ENSG00000006047	3327	0.0	ENSG00000006047	YBX2	False	0.0
ENSG00000006062	30357	0.0	ENSG00000006062	MAP3K14	False	0.0
ENSG00000006071	13263	0.0	ENSG00000006071	ABCC8	False	0.0
ENSG00000006116	1283	0.0	ENSG00000006116	CACNG3	False	0.0
ENSG00000006118	19743	0.0	ENSG00000006118	TMEM132A	False	0.0
ENSG00000006125	278834	0.0	ENSG00000006125	AP2B1	False	0.0
ENSG00000006128	14481	0.0	ENSG00000006128	TAC1	False	0.0
ENSG00000006194	23057	5538.0	ENSG00000006194	ZNF263	True	0.24018736175564903
ENSG00000006210	4161	0.0	ENSG00000006210	CX3CL1	False	0.0
ENSG00000006282	27980	1.0	ENSG00000006282	SPATA20	True	3.57398141529664e-05
ENSG00000006283	5939	0.0	ENSG00000006283	CACNA1G	False	0.0
ENSG00000006327	175254	0.0	ENSG00000006327	TNFRSF12A	False	0.0
ENSG00000006377	2781	0.0	ENSG00000006377	DLX6	False	0.0
ENSG00000006432	11245	0.0	ENSG00000006432	MAP3K9	False	0.0
ENSG00000006451	129091	0.0	ENSG00000006451	RALA	False	0.0
ENSG00000006453	17395	0.0	ENSG00000006453	BAIAP2L1	False	0.0
ENSG00000006459	76570	0.0	ENSG00000006459	KDM7A	False	0.0
ENSG00000006468	25081	0.0	ENSG00000006468	ETV1	False	0.0
ENSG00000006530	79689	0.0	ENSG00000006530	AGK	False	0.0
ENSG00000006534	28728	0.0	ENSG00000006534	ALDH3B1	False	0.0
ENSG00000006555	5525	0.0	ENSG00000006555	TTC22	False	0.0
ENSG00000006576	114593	0.0	ENSG00000006576	PHTF2	False	0.0
ENSG00000006606	17599	0.0	ENSG00000006606	CCL26	False	0.0
ENSG00000006607	56249	0.0	ENSG00000006607	FARP2	False	0.0
ENSG00000006611	2491	0.0	ENSG00000006611	USH1C	False	0.0
ENSG00000006625	168398	0.0	ENSG00000006625	GGCT	False	0.0
ENSG00000006634	153204	0.0	ENSG00000006634	DBF4	False	0.0
ENSG00000006638	1631	0.0	ENSG00000006638	TBXA2R	False	0.0
ENSG00000006652	208397	27.0	ENSG00000006652	IFRD1	True	0.00012956040633982255
ENSG00000006659	235	0.0	ENSG00000006659	LGALS14	False	0.0
ENSG00000006695	54861	0.0	ENSG00000006695	COX10	False	0.0
ENSG00000006704	18360	0.0	ENSG00000006704	GTF2IRD1	False	0.0
ENSG00000006712	61149	0.0	ENSG00000006712	PAF1	False	0.0
ENSG00000006715	107636	0.0	ENSG00000006715	VPS41	False	0.0
ENSG00000006740	7560	0.0	ENSG00000006740	ARHGAP44	False	0.0
ENSG00000006744	64749	0.0	ENSG00000006744	ELAC2	False	0.0
ENSG00000006747	8218	120.0	ENSG00000006747	SCIN	True	0.014602092966658554
ENSG00000006756	26595	0.0	ENSG00000006756	ARSD	False	0.0
ENSG00000006757	15735	0.0	ENSG00000006757	PNPLA4	False	0.0
ENSG00000006788	1935	0.0	ENSG00000006788	MYH13	False	0.0
ENSG00000006831	89267	0.0	ENSG00000006831	ADIPOR2	False	0.0
ENSG00000006837	30057	0.0	ENSG00000006837	CDKL3	False	0.0
ENSG00000007001	1141	13.0	ENSG00000007001	UPP2	True	0.011393514460999123
ENSG00000007038	19429	0.0	ENSG00000007038	PRSS21	False	0.0
ENSG00000007047	23745	11.0	ENSG00000007047	MARK4	True	0.00046325542219414616
ENSG00000007062	79837	13350.0	ENSG00000007062	PROM1	True	0.16721570199281036
ENSG00000007080	137871	0.0	ENSG00000007080	CCDC124	False	0.0
ENSG00000007129	19386	899.0	ENSG00000007129	CEACAM21	True	0.04637367172186114
ENSG00000007168	307650	0.0	ENSG00000007168	PAFAH1B1	False	0.0
ENSG00000007171	601	0.0	ENSG00000007171	NOS2	False	0.0
ENSG00000007174	1576	0.0	ENSG00000007174	DNAH9	False	0.0
ENSG00000007202	101351	9.0	ENSG00000007202	BLTP2	False	8.880030784106718e-05
ENSG00000007237	78057	0.0	ENSG00000007237	GAS7	False	0.0
ENSG00000007255	110013	0.0	ENSG00000007255	TRAPPC6A	False	0.0
ENSG00000007264	55865	0.0	ENSG00000007264	MATK	False	0.0
ENSG00000007312	155242	0.0	ENSG00000007312	CD79B	False	0.0
ENSG00000007314	1099	0.0	ENSG00000007314	SCN4A	False	0.0
ENSG00000007341	74932	0.0	ENSG00000007341	ST7L	False	0.0
ENSG00000007350	6401	0.0	ENSG00000007350	TKTL1	False	0.0
ENSG00000007372	36572	0.0	ENSG00000007372	PAX6	False	0.0
ENSG00000007376	21196	0.0	ENSG00000007376	RPUSD1	False	0.0
ENSG00000007384	9656	0.0	ENSG00000007384	RHBDF1	False	0.0
ENSG00000007392	185200	0.0	ENSG00000007392	LUC7L	False	0.0
ENSG00000007402	7609	0.0	ENSG00000007402	CACNA2D2	False	0.0
ENSG00000007516	5099	0.0	ENSG00000007516	BAIAP3	False	0.0
ENSG00000007520	43529	0.0	ENSG00000007520	TSR3	False	0.0
ENSG00000007541	59820	1.0	ENSG00000007541	PIGQ	True	1.6716817118020728e-05
ENSG00000007545	27305	0.0	ENSG00000007545	CRAMP1	False	0.0
ENSG00000007866	11160	0.0	ENSG00000007866	TEAD3	False	0.0
ENSG00000007908	2690	0.0	ENSG00000007908	SELE	True	0.0
ENSG00000007923	80933	0.0	ENSG00000007923	DNAJC11	False	0.0
ENSG00000007933	4578	0.0	ENSG00000007933	FMO3	False	0.0
ENSG00000007944	111406	0.0	ENSG00000007944	MYLIP	False	0.0
ENSG00000007952	661	0.0	ENSG00000007952	NOX1	False	0.0
ENSG00000007968	22975	0.0	ENSG00000007968	E2F2	False	0.0
ENSG00000008018	596710	0.0	ENSG00000008018	PSMB1	False	0.0
ENSG00000008056	2968	0.0	ENSG00000008056	SYN1	False	0.0
ENSG00000008083	219911	0.0	ENSG00000008083	JARID2	False	0.0
ENSG00000008086	34070	0.0	ENSG00000008086	CDKL5	False	0.0
ENSG00000008118	2293	0.0	ENSG00000008118	CAMK1G	False	0.0
ENSG00000008128	210028	0.0	ENSG00000008128	CDK11A	False	0.0
ENSG00000008130	60759	0.0	ENSG00000008130	NADK	False	0.0
ENSG00000008196	13799	0.0	ENSG00000008196	TFAP2B	False	0.0
ENSG00000008226	4127	0.0	ENSG00000008226	DLEC1	False	0.0
ENSG00000008256	26169	0.0	ENSG00000008256	CYTH3	False	0.0
ENSG00000008277	67744	0.0	ENSG00000008277	ADAM22	False	0.0
ENSG00000008282	124856	0.0	ENSG00000008282	SYPL1	False	0.0
ENSG00000008283	37556	3.0	ENSG00000008283	CYB561	False	7.988071147087016e-05
ENSG00000008294	295516	0.0	ENSG00000008294	SPAG9	False	0.0
ENSG00000008300	7545	0.0	ENSG00000008300	CELSR3	False	0.0
ENSG00000008311	54485	0.0	ENSG00000008311	AASS	False	0.0
ENSG00000008323	1432	0.0	ENSG00000008323	PLEKHG6	False	0.0
ENSG00000008324	155017	1.0	ENSG00000008324	SS18L2	True	6.4509053845707244e-06
ENSG00000008382	9230	0.0	ENSG00000008382	MPND	False	0.0
ENSG00000008394	329697	1095.0	ENSG00000008394	MGST1	True	0.003321231312386828
ENSG00000008405	53835	0.0	ENSG00000008405	CRY1	False	0.0
ENSG00000008438	16471	0.0	ENSG00000008438	PGLYRP1	False	0.0
ENSG00000008441	73026	0.0	ENSG00000008441	NFIX	False	0.0
ENSG00000008513	108022	142.0	ENSG00000008513	ST3GAL1	True	0.0013145470367147433
ENSG00000008516	10365	0.0	ENSG00000008516	MMP25	False	0.0
ENSG00000008517	931943	0.0	ENSG00000008517	IL32	False	0.0
ENSG00000008710	38201	235.0	ENSG00000008710	PKD1	True	0.006151671422214078
ENSG00000008735	7543	0.0	ENSG00000008735	MAPK8IP2	False	0.0
ENSG00000008838	61502	0.0	ENSG00000008838	MED24	False	0.0
ENSG00000008853	12667	183.0	ENSG00000008853	RHOBTB2	False	0.014446988237151653
ENSG00000008869	94115	0.0	ENSG00000008869	HEATR5B	False	0.0
ENSG00000008952	676084	0.0	ENSG00000008952	SEC62	False	0.0
