release	srr	gse	species	platform	ena_assay	biology_group	description	pipeline	isoquant_status	isoquant_cells	isoquant_cells_method	isoquant_transcripts	annotation_status	annotation_method	metadata_resolution
scTHREAD_NAR_release_20260803	SRR16248578	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248579	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248581	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248582	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248583	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248584	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248585	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248586	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248587	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248588	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
