run	study	filter	transcript_id	count	usage	pas_supported	is_reference	hc_reference_model
SRR30639555	GSE276974	F0_all_positive_models	ENST00000462363	63.0	0.010280678851174934	False	True	True
SRR30639555	GSE276974	F0_all_positive_models	ENST00000418674	24.0	0.0039164490861618795	False	True	True
SRR30639555	GSE276974	F0_all_positive_models	ENST00000484135	969.0	0.1581266318537859	True	True	False
SRR30639555	GSE276974	F0_all_positive_models	ENST00000697634	36.0	0.00587467362924282	False	True	False
SRR30639555	GSE276974	F1_pas_supported_models	ENST00000442510	386.0	0.21492204899777284	True	True	True
SRR30639555	GSE276974	F1_pas_supported_models	ENST00000367367	352.0	0.19599109131403117	True	True	False
SRR30639555	GSE276974	F1_pas_supported_models	ENST00000529828	89.0	0.04955456570155902	True	True	True
SRR30639555	GSE276974	F1_pas_supported_models	ENST00000484135	969.0	0.5395322939866369	True	True	False
SRR30639555	GSE276974	F2_high_confidence_reference_models	ENST00000442510	386.0	0.8126315789473684	True	True	True
SRR30639555	GSE276974	F2_high_confidence_reference_models	ENST00000529828	89.0	0.18736842105263157	True	True	True
SRR30639556	GSE276974	F0_all_positive_models	ENST00000348564	172.0	0.042084658673843894	True	True	True
SRR30639556	GSE276974	F0_all_positive_models	ENST00000442510	436.0	0.1066797161732322	True	True	True
SRR30639556	GSE276974	F0_all_positive_models	ENST00000530727	220.0	0.05382921458282359	False	True	False
SRR30639556	GSE276974	F0_all_positive_models	ENST00000367367	381.0	0.0932224125275263	True	True	False
SRR30639556	GSE276974	F0_all_positive_models	ENST00000367364	1566.0	0.38316613653046244	False	True	True
SRR30639556	GSE276974	F0_all_positive_models	ENST00000413409	109.0	0.02666992904330805	False	True	True
SRR30639556	GSE276974	F0_all_positive_models	ENST00000529828	128.0	0.03131881575727918	True	True	True
SRR30639556	GSE276974	F0_all_positive_models	ENST00000418674	26.0	0.006361634450697333	False	True	True
SRR30639556	GSE276974	F0_all_positive_models	ENST00000484135	1049.0	0.25666748226082703	True	True	False
SRR30639556	GSE276974	F1_pas_supported_models	ENST00000348564	172.0	0.07940904893813482	True	True	True
SRR30639556	GSE276974	F1_pas_supported_models	ENST00000442510	436.0	0.2012927054478301	True	True	True
SRR30639556	GSE276974	F1_pas_supported_models	ENST00000367367	381.0	0.17590027700831026	True	True	False
SRR30639556	GSE276974	F1_pas_supported_models	ENST00000529828	128.0	0.05909510618651893	True	True	True
SRR30639556	GSE276974	F1_pas_supported_models	ENST00000484135	1049.0	0.4843028624192059	True	True	False
SRR30639556	GSE276974	F2_high_confidence_reference_models	ENST00000348564	172.0	0.23369565217391305	True	True	True
SRR30639556	GSE276974	F2_high_confidence_reference_models	ENST00000442510	436.0	0.592391304347826	True	True	True
SRR30639556	GSE276974	F2_high_confidence_reference_models	ENST00000529828	128.0	0.17391304347826086	True	True	True
SRR30639557	GSE276974	F0_all_positive_models	ENST00000348564	129.0	0.031099324975891997	True	True	True
SRR30639557	GSE276974	F0_all_positive_models	ENST00000530727	271.0	0.06533269045323047	False	True	False
SRR30639557	GSE276974	F0_all_positive_models	ENST00000442510	397.0	0.09570877531340405	True	True	True
SRR30639557	GSE276974	F0_all_positive_models	ENST00000367367	424.0	0.10221793635486982	True	True	False
SRR30639557	GSE276974	F0_all_positive_models	ENST00000367364	1600.0	0.3857280617164899	False	True	True
SRR30639557	GSE276974	F0_all_positive_models	ENST00000697632	21.0	0.005062680810028929	True	True	False
SRR30639557	GSE276974	F0_all_positive_models	ENST00000413409	65.0	0.0156702025072324	False	True	True
SRR30639557	GSE276974	F0_all_positive_models	ENST00000529828	64.0	0.015429122468659595	True	True	True
SRR30639557	GSE276974	F0_all_positive_models	ENST00000462363	55.0	0.01325940212150434	False	True	True
SRR30639557	GSE276974	F0_all_positive_models	ENST00000418674	30.0	0.007232401157184185	False	True	True
SRR30639557	GSE276974	F0_all_positive_models	ENST00000484135	1027.0	0.24758919961427195	True	True	False
SRR30639557	GSE276974	F0_all_positive_models	ENST00000697634	59.0	0.014223722275795565	False	True	False
SRR30639557	GSE276974	F0_all_positive_models	ENST00000646230	6.0	0.0014464802314368371	False	True	False
SRR30639557	GSE276974	F1_pas_supported_models	ENST00000348564	129.0	0.06256062075654704	True	True	True
SRR30639557	GSE276974	F1_pas_supported_models	ENST00000442510	397.0	0.19253152279340446	True	True	True
SRR30639557	GSE276974	F1_pas_supported_models	ENST00000367367	424.0	0.20562560620756548	True	True	False
SRR30639557	GSE276974	F1_pas_supported_models	ENST00000697632	21.0	0.010184287099903006	True	True	False
SRR30639557	GSE276974	F1_pas_supported_models	ENST00000529828	64.0	0.031037827352085354	True	True	True
SRR30639557	GSE276974	F1_pas_supported_models	ENST00000484135	1027.0	0.4980601357904947	True	True	False
SRR30639557	GSE276974	F2_high_confidence_reference_models	ENST00000348564	129.0	0.21864406779661016	True	True	True
SRR30639557	GSE276974	F2_high_confidence_reference_models	ENST00000442510	397.0	0.6728813559322034	True	True	True
SRR30639557	GSE276974	F2_high_confidence_reference_models	ENST00000529828	64.0	0.10847457627118644	True	True	True
SRR30639558	GSE276974	F0_all_positive_models	ENST00000367367	345.0	0.09408235614944097	True	True	False
