gene	pval	effect	n_pas	qval	sig
ENSG00000157954	0.000999000999000999	0.1639762530590048	19	0.0034784714626611857	False
ENSG00000158019	0.000999000999000999	0.44155364180950535	25	0.0034784714626611857	True
ENSG00000158092	0.000999000999000999	0.30033154701086384	26	0.0034784714626611857	True
ENSG00000159884	0.000999000999000999	0.03850010980162503	6	0.0034784714626611857	False
ENSG00000008324	0.000999000999000999	0.07207207207207209	16	0.0034784714626611857	False
ENSG00000158290	0.000999000999000999	0.25405412256504917	46	0.0034784714626611857	True
ENSG00000158321	0.000999000999000999	0.4227023969268819	31	0.0034784714626611857	True
ENSG00000160131	0.000999000999000999	0.37086744940522165	18	0.0034784714626611857	True
ENSG00000160190	0.000999000999000999	0.4565217391304348	25	0.0034784714626611857	True
ENSG00000160194	0.000999000999000999	0.31947747643280583	36	0.0034784714626611857	True
ENSG00000160209	0.000999000999000999	0.3064161805923793	33	0.0034784714626611857	True
ENSG00000160014	0.000999000999000999	0.36001203175290486	18	0.0034784714626611857	True
ENSG00000157349	0.000999000999000999	0.25607235142118856	22	0.0034784714626611857	True
ENSG00000157350	0.000999000999000999	0.5226777579718758	21	0.0034784714626611857	True
ENSG00000157379	0.000999000999000999	0.13211554800339848	13	0.0034784714626611857	False
ENSG00000157500	0.000999000999000999	0.24638645652330532	56	0.0034784714626611857	True
ENSG00000157557	0.000999000999000999	0.41304347826086957	19	0.0034784714626611857	True
ENSG00000157637	0.000999000999000999	0.18803765622463886	36	0.0034784714626611857	False
ENSG00000157654	0.000999000999000999	0.35474193655318725	25	0.0034784714626611857	True
ENSG00000157191	0.000999000999000999	0.33916228789950476	21	0.0034784714626611857	True
ENSG00000288851	0.000999000999000999	0.43802873912163526	22	0.0034784714626611857	True
ENSG00000008952	0.000999000999000999	0.1748670124710297	50	0.0034784714626611857	False
ENSG00000008988	0.000999000999000999	0.004171380367895715	22	0.0034784714626611857	False
ENSG00000009307	0.000999000999000999	0.2693859918662449	32	0.0034784714626611857	True
ENSG00000009780	0.000999000999000999	0.3873214285714286	8	0.0034784714626611857	True
ENSG00000009790	0.000999000999000999	0.1305914589320323	7	0.0034784714626611857	False
ENSG00000011295	0.000999000999000999	0.3193306519688167	40	0.0034784714626611857	True
ENSG00000011304	0.000999000999000999	0.1899165174056285	24	0.0034784714626611857	False
ENSG00000160783	0.000999000999000999	0.08584464270146175	9	0.0034784714626611857	False
ENSG00000158195	0.000999000999000999	0.13458622711185783	25	0.0034784714626611857	False
ENSG00000158201	0.000999000999000999	0.2550058637015159	27	0.0034784714626611857	True
ENSG00000010072	0.000999000999000999	0.3855174903251262	44	0.0034784714626611857	True
ENSG00000010165	0.000999000999000999	0.22440606414443087	16	0.0034784714626611857	True
ENSG00000010244	0.000999000999000999	0.3672058070211769	56	0.0034784714626611857	True
ENSG00000009844	0.000999000999000999	0.2888963542883852	21	0.0034784714626611857	True
ENSG00000009954	0.000999000999000999	0.22186147186147187	30	0.0034784714626611857	True
ENSG00000160408	0.000999000999000999	0.2547870700047661	15	0.0034784714626611857	True
ENSG00000160439	0.000999000999000999	0.3758367575697787	21	0.0034784714626611857	True
ENSG00000160789	0.000999000999000999	0.4857323578597041	25	0.0034784714626611857	True
ENSG00000160796	0.000999000999000999	0.07811352055930795	10	0.0034784714626611857	False
ENSG00000160218	0.000999000999000999	0.2888905492151845	21	0.0034784714626611857	True
ENSG00000160226	0.000999000999000999	0.19762756372526824	13	0.0034784714626611857	False
ENSG00000160685	0.000999000999000999	0.4206782895307486	5	0.0034784714626611857	True
ENSG00000160688	0.000999000999000999	0.20318478220017286	8	0.0034784714626611857	True
ENSG00000013375	0.000999000999000999	0.43291453389173257	31	0.0034784714626611857	True
ENSG00000013441	0.000999000999000999	0.13442760942760945	17	0.0034784714626611857	False
ENSG00000161057	0.000999000999000999	0.13320135746606332	21	0.0034784714626611857	False
ENSG00000161179	0.000999000999000999	0.11385350318471335	7	0.0034784714626611857	False
ENSG00000160888	0.000999000999000999	0.1305643980065048	12	0.0034784714626611857	False
