gene	pval	effect	n_iso	qval	sig
ENSG00000163516	0.000999000999000999	0.4900596421471173	20	0.004933419521654815	True
ENSG00000121390	0.000999000999000999	0.49186616922956905	8	0.004933419521654815	True
ENSG00000163719	0.000999000999000999	0.3027467165778823	11	0.004933419521654815	True
ENSG00000163728	0.000999000999000999	0.3630533746783664	11	0.004933419521654815	True
ENSG00000035141	0.000999000999000999	0.2745605920444033	6	0.004933419521654815	True
ENSG00000277791	0.000999000999000999	0.13906325185272228	6	0.004933419521654815	False
ENSG00000278053	0.000999000999000999	0.27630272952853596	8	0.004933419521654815	True
ENSG00000278175	0.000999000999000999	0.36393031857773533	15	0.004933419521654815	True
ENSG00000278311	0.000999000999000999	0.28103957851452066	8	0.004933419521654815	True
ENSG00000278615	0.000999000999000999	0.07641076115485566	3	0.004933419521654815	False
ENSG00000163568	0.000999000999000999	0.888663967611336	5	0.004933419521654815	True
ENSG00000163584	0.000999000999000999	0.3781641871355468	6	0.004933419521654815	True
ENSG00000163597	0.000999000999000999	0.27447939743021715	13	0.004933419521654815	True
ENSG00000163636	0.000999000999000999	0.45051469574136294	12	0.004933419521654815	True
ENSG00000163655	0.000999000999000999	0.18386845555248188	3	0.004933419521654815	False
ENSG00000163660	0.000999000999000999	0.13949676491732568	25	0.004933419521654815	False
ENSG00000163682	0.000999000999000999	0.07639824477563943	15	0.004933419521654815	False
ENSG00000163714	0.000999000999000999	0.32889382953815943	16	0.004933419521654815	True
ENSG00000167196	0.000999000999000999	0.37199780356204937	4	0.004933419521654815	True
ENSG00000167258	0.000999000999000999	0.4577854011816276	6	0.004933419521654815	True
ENSG00000167264	0.000999000999000999	0.46077569214907355	8	0.004933419521654815	True
ENSG00000167283	0.000999000999000999	0.043300289332448526	12	0.004933419521654815	False
ENSG00000167286	0.000999000999000999	0.05638268893542406	7	0.004933419521654815	False
ENSG00000163875	0.000999000999000999	0.5464183822962448	9	0.004933419521654815	True
ENSG00000163563	0.000999000999000999	0.3987179487179487	3	0.004933419521654815	True
ENSG00000163565	0.000999000999000999	0.3930021785707432	12	0.004933419521654815	True
ENSG00000167543	0.000999000999000999	0.24998964150396155	6	0.004933419521654815	True
ENSG00000163527	0.000999000999000999	0.14272320569299762	7	0.004933419521654815	False
ENSG00000039650	0.000999000999000999	0.41201916677758543	19	0.004933419521654815	True
ENSG00000273611	0.000999000999000999	0.1857890970169695	9	0.004933419521654815	False
ENSG00000275052	0.000999000999000999	0.19824235477028074	6	0.004933419521654815	False
ENSG00000275700	0.000999000999000999	0.15153279759146784	20	0.004933419521654815	False
ENSG00000277632	0.000999000999000999	0.09633184752297731	3	0.004933419521654815	False
ENSG00000041357	0.000999000999000999	0.240690072323886	17	0.004933419521654815	True
ENSG00000125743	0.000999000999000999	0.0466621199350553	7	0.004933419521654815	False
ENSG00000125835	0.000999000999000999	0.18921931018630458	9	0.004933419521654815	False
ENSG00000125863	0.000999000999000999	0.4154135338345865	4	0.004933419521654815	True
ENSG00000167397	0.000999000999000999	0.5968249288769533	5	0.004933419521654815	True
ENSG00000167468	0.000999000999000999	0.4124558468116751	12	0.004933419521654815	True
ENSG00000167515	0.000999000999000999	0.5210860235118492	14	0.004933419521654815	True
ENSG00000167522	0.000999000999000999	0.2613851559097604	27	0.004933419521654815	True
ENSG00000167526	0.000999000999000999	0.01897613283656793	15	0.004933419521654815	False
ENSG00000121741	0.000999000999000999	0.1790314831186534	11	0.004933419521654815	False
ENSG00000125450	0.000999000999000999	0.2939152573470303	16	0.004933419521654815	True
ENSG00000125454	0.000999000999000999	0.45011737089201875	8	0.004933419521654815	True
ENSG00000125457	0.000999000999000999	0.21888951770106266	12	0.004933419521654815	True
ENSG00000125458	0.000999000999000999	0.2271819694448646	13	0.004933419521654815	True
ENSG00000125611	0.000999000999000999	0.11862363376988341	5	0.004933419521654815	False
ENSG00000125691	0.000999000999000999	0.04424139447073286	11	0.004933419521654815	False
ENSG00000125740	0.000999000999000999	0.2507915240200242	12	0.004933419521654815	True
ENSG00000121570	0.000999000999000999	0.5181518151815181	7	0.004933419521654815	True
ENSG00000196154	0.000999000999000999	0.02106138744351874	6	0.004933419521654815	False
ENSG00000196187	0.000999000999000999	0.3930185257547066	8	0.004933419521654815	True
ENSG00000196199	0.000999000999000999	0.06785184493009241	5	0.004933419521654815	False
ENSG00000196235	0.000999000999000999	0.13780313591848675	17	0.004933419521654815	False
ENSG00000196262	0.000999000999000999	0.24373042988991436	15	0.004933419521654815	True
ENSG00000196275	0.000999000999000999	0.7142857142857144	6	0.004933419521654815	True
ENSG00000121716	0.000999000999000999	0.3148046230049532	8	0.004933419521654815	True
