Gene_ID	n_visible_isoforms	top2_expressing_cells	top2_molecules	max_abs_prop_diff	min_fdr	gene_name	top_isoforms
ENSMUSG00000021037	2	273	302.85543018559457	0.0445056722816433	2.00300211593054e-07	Ahsa1	ENSMUST00000021425;ENSMUST00000222728
ENSMUSG00000026234	2	256	279.7556206057835	0.0820850228867934	0.0058582204067767	Ncl	ENSMUST00000027438;ENSMUST00000185785
ENSMUSG00000062683	2	245	273.64154453333674	0.0691678220247807	0.0056248313591216	Atp5g2	ENSMUST00000186952;ENSMUST00000185641
ENSMUSG00000020224	2	243	269.9075757961588	0.0374986079307691	0.0331398343967237	Llph	ENSMUST00000020444;ENSMUST00000130198
ENSMUSG00000001707	2	241	266.60428652205417	0.0635062042338602	7.70269063895559e-05	Eef1e1	ENSMUST00000001757;ENSMUST00000224487
ENSMUSG00000025428	2	204	228.1386631089216	0.0521183219803687	1.59536096655419e-08	Atp5a1	ENSMUST00000026495;ENSMUST00000114748
ENSMUSG00000031622	2	198	220.94250876521454	0.061713037153012	0.0066623066967209	Sin3b	ENSMUST00000109950;ENSMUST00000004494
ENSMUSG00000015120	2	194	213.12971801911146	0.065256869604419	4.3025815519622397e-13	Ube2i	ENSMUST00000049911;ENSMUST00000172868
ENSMUSG00000045948	2	183	203.0165975758039	0.0815416461426327	0.0020608125415657	Mrps12	ENSMUST00000056078;ENSMUST00000171183
ENSMUSG00000031984	2	178	200.87244538110053	0.0386156789423122	0.0077013545408336	2810004N23Rik	ENSMUST00000034465;ENSMUST00000212808
ENSMUSG00000087590	2	177	199.81998842633882	0.0747301498046189	6.1669623595846e-05	Epb41l4aos	ENSMUST00000146010;ENSMUST00000241923
ENSMUSG00000019054	2	160	177.77609905886885	0.0512960033890823	0.0288342485360491	Fis1	ENSMUST00000019198;ENSMUST00000111094
ENSMUSG00000026374	2	156	170.46938788574346	0.0559373588482147	1.76973030839779e-06	Tsn	ENSMUST00000027623;ENSMUST00000186163
ENSMUSG00000029147	2	150	166.36154387430642	0.0677649570034522	4.645762062837191e-09	Ppm1g	ENSMUST00000031032;ENSMUST00000200740
ENSMUSG00000027968	2	149	167.1929287611362	0.283631693839132	6.01576373590903e-34	Larp7	ENSMUST00000029588;ENSMUST00000195976
ENSMUSG00000027620	2	147	163.2308723921818	0.200938188904786	3.74453669950549e-32	Rbm39	ENSMUST00000109587;ENSMUST00000128243
ENSMUSG00000036315	2	142	159.11254325220256	0.0421595536187698	0.0404961407712975	Polr1h	ENSMUST00000172518;ENSMUST00000113669
ENSMUSG00000028936	2	135	151.65980652421894	0.0974260539840576	6.25534920470391e-08	Rpl22	ENSMUST00000142735;ENSMUST00000127659
ENSMUSG00000024829	2	130	144.30045000668485	0.0748751200623411	0.0050545381114629	Mrpl21	ENSMUST00000025743;ENSMUST00000025745
ENSMUSG00000008682	2	128	140.3388549485821	0.122375777665677	1.29985345031347e-10	Rpl10	ENSMUST00000074085;ENSMUST00000144434
ENSMUSG00000027940	2	125	139.32899212750425	0.0964728271829701	4.17924084114939e-09	Tpm3	ENSMUST00000029549;ENSMUST00000131354
ENSMUSG00000031403	2	120	132.7761384922777	0.0415901357237243	0.0045917420052822	Dkc1	ENSMUST00000033776;ENSMUST00000135389
ENSMUSG00000041645	2	113	124.00901860577886	0.0653551582820638	0.0145082510225508	Ddx24	ENSMUST00000220705;ENSMUST00000044923
ENSMUSG00000039218	2	109	120.22733499814834	0.122912194828555	0.0003961071655656	Srrm2	ENSMUST00000190686;ENSMUST00000088621
ENSMUSG00000059355	2	109	119.94571617562842	0.0614795482471153	0.0288190840268398	Wdr83os	ENSMUST00000079764;ENSMUST00000148592
ENSMUSG00000028693	2	106	118.13746364220115	0.198243527268573	6.89350983943252e-30	Nasp	ENSMUST00000030456;ENSMUST00000134038
ENSMUSG00000022858	2	103	115.4778290540593	0.180304164697481	9.880931321397342e-15	Tra2b	ENSMUST00000161286;ENSMUST00000232411
ENSMUSG00000068882	2	95	105.58807186769941	0.0899431139611053	0.0011080083289576	Ssb	ENSMUST00000090852;ENSMUST00000166411
ENSMUSG00000066979	2	89	99.32858156725317	0.109283380637966	1.08003819454471e-12	Bub3	ENSMUST00000084502;ENSMUST00000208848
ENSMUSG00000000303	2	86	101.17209611910657	0.0392578312049608	0.0304169320055761	Cdh1	ENSMUST00000000312;ENSMUST00000136580
ENSMUSG00000002660	2	83	91.08646664040155	0.0958509873550487	1.28765373873241e-10	Clpp	ENSMUST00000002735;ENSMUST00000233845
ENSMUSG00000010608	2	80	90.31260759463576	0.269753238533819	1.00803574629934e-21	Rbm25	ENSMUST00000048155;ENSMUST00000182881
ENSMUSG00000029328	2	77	86.02503349187552	0.235705898913553	1.04520118751506e-19	Hnrnpdl	ENSMUST00000128187;ENSMUST00000153442
ENSMUSG00000026020	2	75	83.94988474372187	0.0724714237617904	0.0209793354720816	Nop58	ENSMUST00000191142;ENSMUST00000027174
ENSMUSG00000059796	2	72	78.8741931989799	0.11596595291078	0.0009649062780491	Eif4a1	ENSMUST00000163666;ENSMUST00000123995
ENSMUSG00000025917	2	70	75.8297746776762	0.0523296600889963	5.65204037552036e-06	Cops5	ENSMUST00000027050;ENSMUST00000191296
ENSMUSG00000025817	2	68	74.50130692493586	0.107767843148712	2.48957875513454e-11	Nudt5	ENSMUST00000026927;ENSMUST00000138549
ENSMUSG00000026864	2	67	74.14830086212714	0.110858927316601	0.0254896335925909	Hspa5	ENSMUST00000028222;ENSMUST00000100171
ENSMUSG00000034120	2	65	71.72848613187026	0.0699099826574745	0.0292452916923461	Srsf2	ENSMUST00000092404;ENSMUST00000176834
ENSMUSG00000063511	2	63	68.00515901505322	0.101360165256193	1.85267987333257e-08	Snrnp70	ENSMUST00000074575;ENSMUST00000210583
ENSMUSG00000014856	2	62	67.73848101165966	0.117794337504361	4.67413842285279e-06	Tmem208	ENSMUST00000015000;ENSMUST00000126705
ENSMUSG00000040034	2	61	68.2690369422541	0.0449790561435791	0.0005909633088177	Nup43	ENSMUST00000040135;ENSMUST00000162346
ENSMUSG00000052456	2	60	66.88620090269714	0.0929650491263628	7.36097597613276e-10	Get3	ENSMUST00000064314;ENSMUST00000211221
ENSMUSG00000027405	2	58	63.40714054063167	0.0670191493639571	0.0001194054731857	Nop56	ENSMUST00000103198;ENSMUST00000146454
ENSMUSG00000033732	2	57	64.80071188734028	0.373606161587459	4.64246471236806e-19	Sf3b3	ENSMUST00000042012;ENSMUST00000212843
ENSMUSG00000018666	2	56	61.292237702891754	0.0542605515973777	5.35478467817818e-05	Cbx1	ENSMUST00000093943;ENSMUST00000018810
ENSMUSG00000029730	2	54	60.64180507462806	0.268421660607085	1.67702787153433e-24	Mcm7	ENSMUST00000000505;ENSMUST00000125316
ENSMUSG00000052428	2	51	56.51399012690135	0.0840479973285202	0.0006135274577283	Tmco1	ENSMUST00000195015;ENSMUST00000193446
ENSMUSG00000028426	2	50	56.64503225865334	0.0858774574067486	1.69545884058333e-06	Rad23b	ENSMUST00000030134;ENSMUST00000127266
ENSMUSG00000098274	2	50	54.93485965975335	0.0799998604573289	0.0030977040199661	Rpl24	ENSMUST00000023269;ENSMUST00000137811
ENSMUSG00000038900	2	46	50.94730141841946	0.173755004291713	7.27463083983034e-10	Rpl12	ENSMUST00000126610;ENSMUST00000134912
ENSMUSG00000021039	2	46	49.86920182255255	0.121721401899024	1.57520212120713e-13	Snw1	ENSMUST00000021428;ENSMUST00000223119
ENSMUSG00000067722	2	45	49.408215614499696	0.191835834600692	5.35468843249443e-08	Uqcc4	ENSMUST00000088307;ENSMUST00000232784
ENSMUSG00000117869	2	44	48.76726783347975	0.369574391443604	2.4274090833236504e-15	Snhg4	ENSMUST00000235679;ENSMUST00000235277
ENSMUSG00000020176	2	44	50.047307064348956	0.292318845813192	6.44046016318644e-07	Grb10	ENSMUST00000109654;ENSMUST00000093321
ENSMUSG00000028165	2	42	47.80566462690141	0.103077630036215	2.09318081728714e-05	Cisd2	ENSMUST00000029815;ENSMUST00000120988
ENSMUSG00000022010	2	40	44.980258419459	0.459803728097771	2.7957474538279603e-09	Tsc22d1	ENSMUST00000176886;ENSMUST00000022587
ENSMUSG00000069769	2	40	46.31676962252175	0.448662236223287	2.0755269447409399e-13	Msi2	ENSMUST00000126293;ENSMUST00000107909
ENSMUSG00000020680	2	40	45.51874238946899	0.251289091455273	3.88791895491981e-15	Taf15	ENSMUST00000021018;ENSMUST00000134185
ENSMUSG00000001016	2	40	43.621832321711025	0.190916783074927	6.24895827136034e-16	Ilf2	ENSMUST00000001042;ENSMUST00000198325
ENSMUSG00000091896	2	38	40.99424701803852	0.121249416200509	1.13842793528631e-05	Ube2d2a	ENSMUST00000170693;ENSMUST00000236235
ENSMUSG00000027671	2	37	40.702740959392855	0.121684784208772	1.12984344756448e-12	Actl6a	ENSMUST00000029214;ENSMUST00000194226
ENSMUSG00000017778	2	36	40.04615828544329	0.25767087471938	2.20377798187233e-22	Cox7c	ENSMUST00000131011;ENSMUST00000078764
ENSMUSG00000063358	2	34	37.49422985126975	0.145948003947632	0.0030977040199661	Mapk1	ENSMUST00000069107;ENSMUST00000115731
ENSMUSG00000029817	2	32	36.38443418437414	0.48917546180373	3.5593265052012904e-31	Tra2a	ENSMUST00000204013;ENSMUST00000031841
ENSMUSG00000029203	2	31	34.024135721477386	0.0709748212886142	8.95984125450207e-07	Ube2k	ENSMUST00000142407;ENSMUST00000202721
ENSMUSG00000078578	2	30	33.406128947454974	0.0955872189916529	5.8517443403005504e-15	Ube2d3	ENSMUST00000196248;ENSMUST00000106291
ENSMUSG00000021134	2	29	31.719278266965933	0.103235722142803	0.0105335974056376	Srsf5	ENSMUST00000094693;ENSMUST00000153056
ENSMUSG00000040524	2	28	32.504324773931216	0.400047553877324	6.80467623307884e-06	Zfp609	ENSMUST00000160747;ENSMUST00000159109
ENSMUSG00000021218	2	28	30.50324272233489	0.0769328515983176	4.02423372388998e-05	Gdi2	ENSMUST00000223396;ENSMUST00000222926
ENSMUSG00000030082	2	27	30.30310097717698	0.103858200762081	0.0244487314280648	Sec61a1	ENSMUST00000032168;ENSMUST00000130918
ENSMUSG00000026260	2	27	29.959473020764957	0.10296185560879	1.18653489572546e-05	Ndufa10	ENSMUST00000027478;ENSMUST00000189582
ENSMUSG00000020358	2	27	29.686398042156224	0.0850201252159442	0.0315455416491466	Hnrnpab	ENSMUST00000109103;ENSMUST00000074669
ENSMUSG00000063972	2	26	29.233080264739293	0.26484148502241	1.7531236173321e-08	Nr6a1	ENSMUST00000076275;ENSMUST00000123099
ENSMUSG00000021840	2	26	28.526222745144803	0.178756348474057	1.12164909157987e-07	Mapk1ip1l	ENSMUST00000166743;ENSMUST00000227941
ENSMUSG00000087687	2	26	28.433460313877365	0.0674656108753152	0.0012677696615183	Pet100	ENSMUST00000156380;ENSMUST00000208185
ENSMUSG00000022194	2	25	27.27813008613791	0.0903935076700048	0.0001678333430633	Pabpn1	ENSMUST00000022808;ENSMUST00000116476
ENSMUSG00000029290	2	24	26.90007287441738	0.135940631604453	0.0004826704701119	Zfp326	ENSMUST00000031227;ENSMUST00000138615
ENSMUSG00000086290	2	24	26.35295384588495	0.0663474553917935	0.0111984425116452	Snhg12	ENSMUST00000153474;ENSMUST00000232260
ENSMUSG00000053907	2	22	25.40488135671353	0.263097050079118	3.29324308359605e-19	Mat2a	ENSMUST00000059472;ENSMUST00000206783
ENSMUSG00000037805	2	21	23.16496402045791	0.206819277478959	3.97392326952714e-14	Rpl10a	ENSMUST00000129935;ENSMUST00000042334
ENSMUSG00000026851	2	21	22.36170804051435	0.129146605772583	1.69545884058333e-06	BC005624	ENSMUST00000028205;ENSMUST00000156325
ENSMUSG00000022995	2	19	21.753587102969192	0.201007265833932	0.004127582203085	Enah	ENSMUST00000193703;ENSMUST00000195461
ENSMUSG00000106943	2	19	21.3820390998651	0.191020722981228	3.68986380448517e-05	Dancr	ENSMUST00000120364;ENSMUST00000240845
ENSMUSG00000021111	2	17	18.704926907969607	0.259394475464604	8.21745311224739e-08	Papola	ENSMUST00000169938;ENSMUST00000166735
ENSMUSG00000034321	2	17	18.67657793719767	0.221957240641828	3.7446427063965395e-11	Exosc1	ENSMUST00000075280;ENSMUST00000237177
ENSMUSG00000060038	2	17	18.26446811385732	0.207928593431481	1.66856454550634e-08	Dhps	ENSMUST00000078665;ENSMUST00000129826
ENSMUSG00000030697	2	17	18.24993314624971	0.101041877262332	1.59228377866265e-06	Ppp4c	ENSMUST00000032936;ENSMUST00000205862
ENSMUSG00000039849	2	17	18.867403825260944	0.065366897798993	0.0271717503957818	Pcif1	ENSMUST00000145327;ENSMUST00000041643
ENSMUSG00000028034	2	16	18.459290738875232	0.31620032849745	1.90007810888393e-08	Fubp1	ENSMUST00000198227;ENSMUST00000198046
ENSMUSG00000020661	2	16	18.17108192852047	0.0916725716463448	0.0082380889087497	Dnmt3a	ENSMUST00000020991;ENSMUST00000172689
ENSMUSG00000028820	2	15	16.9581905429967	0.343979884760204	4.59743681621174e-06	Sfpq	ENSMUST00000143168;ENSMUST00000247843
ENSMUSG00000028676	2	15	17.51763440214085	0.218115227639408	2.10041514294583e-09	Srsf10	ENSMUST00000126641;ENSMUST00000154447
ENSMUSG00000078427	2	15	15.97214203435218	0.13471248588412	0.0003711316015362	Sarnp	ENSMUST00000105230;ENSMUST00000219512
ENSMUSG00000061887	2	15	16.25817814891334	0.113734231194795	0.0013935047884697	Ssbp3	ENSMUST00000030367;ENSMUST00000131440
ENSMUSG00000021377	2	14	15.464102415958838	0.241999852426535	1.18014813804168e-10	Dek	ENSMUST00000021807;ENSMUST00000138401
ENSMUSG00000032621	2	13	14.19405491099281	0.458269681700541	2.46249891320132e-13	Srek1	ENSMUST00000211139;ENSMUST00000074616
ENSMUSG00000071547	2	13	14.544292225336768	0.155184270751436	4.11778134605987e-06	Nt5dc2	ENSMUST00000227096;ENSMUST00000227690
ENSMUSG00000033706	2	13	14.70067298316833	0.130171569480334	0.0088789483253911	Smyd5	ENSMUST00000045693;ENSMUST00000204615
ENSMUSG00000024487	2	13	14.472901314137351	0.123376387269857	0.0214174846726114	Yipf5	ENSMUST00000025364;ENSMUST00000237176
ENSMUSG00000067288	2	12	13.45775759195619	0.318359658624771	9.5879224365521e-08	Rps28	ENSMUST00000173879;ENSMUST00000173480
ENSMUSG00000020899	2	12	13.19960554070374	0.180412546305937	0.0002710691992336	Pfas	ENSMUST00000021282;ENSMUST00000172987
ENSMUSG00000028345	2	11	12.79411254149322	0.416017957877517	4.69284468503278e-09	Tex10	ENSMUST00000030030;ENSMUST00000155750
ENSMUSG00000037236	2	11	12.45415795590802	0.241392399124838	3.76516624759049e-05	Matr3	ENSMUST00000166793;ENSMUST00000235769
ENSMUSG00000055436	2	11	11.736372975223231	0.169710192694326	1.53855078830684e-10	Srsf11	ENSMUST00000121326;ENSMUST00000133090
ENSMUSG00000028898	2	11	11.883222296112441	0.121510325374942	8.91491825982791e-05	Trnau1ap	ENSMUST00000030730;ENSMUST00000146166
