release_candidate	srr	gse	species	platform	isoquant_cells	isoquant_transcripts_documented	isoquant_transcripts_registry	gene_counts_available	gene_counts_bytes	transcript_counts_available	transcript_counts_bytes	read_assignments_available	read_assignments_bytes	transcript_models_available	transcript_models_bytes	extended_annotation_available	extended_annotation_bytes	discovered_transcript_counts_available	discovered_transcript_counts_bytes	diu_available	diu_bytes	apa_available	apa_bytes	junction_available	junction_bytes	ase_available	ase_bytes	file_contract_status
scTHREAD_NAR_release_20260803	SRR16248566	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248568	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248569	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248570	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248571	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248573	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248574	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248575	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248576	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248577	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
