srr	gse	manifest_cells	ondisk_barcodes	isoquant_path	status
SRR30639546	GSE276974	8545.0		data/isoquant/GSE276974/ONT10X2_10	no_barcode_file
SRR30639548	GSE276974	11620.0	11620.0	data/isoquant/GSE276974/SRR30639548	match
SRR30639549	GSE276974	6577.0		data/isoquant/GSE276974/ONT10X3_13	no_barcode_file
SRR30639550	GSE276974	5705.0	5705.0	data/isoquant/GSE276974/SRR30639550	match
SRR30639551	GSE276974	6204.0	6204.0	data/isoquant/GSE276974/SRR30639551	match
SRR30639552	GSE276974	6453.0	6453.0	data/isoquant/GSE276974/SRR30639552	match
SRR30639553	GSE276974	6139.0	6139.0	data/isoquant/GSE276974/SRR30639553	match
SRR30639554	GSE276974	5916.0	5916.0	data/isoquant/GSE276974/SRR30639554	match
SRR30639555	GSE276974	6365.0		data/isoquant/GSE276974/ONT10X2_6	no_barcode_file
SRR30639556	GSE276974	6130.0	6130.0	data/isoquant/GSE276974/SRR30639556	match
SRR30639557	GSE276974	6285.0	6285.0	data/isoquant/GSE276974/SRR30639557	match
SRR30639558	GSE276974	12093.0		data/isoquant/GSE276974/ONT10X2_3	no_barcode_file
SRR31435216	GSE283629	17097.0	17097.0	data/isoquant/GSE283629/SRR31435216	match
SRR31435217	GSE283629	17171.0	17171.0	data/isoquant/GSE283629/SRR31435217	match
SRR31435218	GSE283629	20205.0	20205.0	data/isoquant/GSE283629/SRR31435218	match
SRR31435219	GSE283629	20067.0	20067.0	data/isoquant/GSE283629/SRR31435219	match
SRR31632206	GSE283658	3463.0	3463.0	data/isoquant/GSE283658/SRR31632206	match
SRR31632207	GSE283658	8656.0	8656.0	data/isoquant/GSE283658/SRR31632207	match
SRR31632208	GSE283658	8574.0	8574.0	data/isoquant/GSE283658/SRR31632208	match
SRR32154422	GSE288222	3727.0	3727.0	data/isoquant/GSE288222/SRR32154422	match
SRR32154423	GSE288222	4165.0	4165.0	data/isoquant/GSE288222/SRR32154423	match
SRR32154424	GSE288222	4002.0	4002.0	data/isoquant/GSE288222/SRR32154424	match
SRR32154425	GSE288222	7529.0	7529.0	data/isoquant/GSE288222/SRR32154425	match
SRR32154426	GSE288222	5916.0	5916.0	data/isoquant/GSE288222/SRR32154426	match
SRR32154427	GSE288222	5216.0	5216.0	data/isoquant/GSE288222/SRR32154427	match
SRR32154428	GSE288222	9532.0	9532.0	data/isoquant/GSE288222/SRR32154428	match
SRR32154429	GSE288222	9884.0	9884.0	data/isoquant/GSE288222/SRR32154429	match
SRR32154430	GSE288222	3905.0	3905.0	data/isoquant/GSE288222/SRR32154430	match
SRR32154431	GSE288222	5298.0	5298.0	data/isoquant/GSE288222/SRR32154431	match
SRR32154433	GSE288222	5206.0	5206.0	data/isoquant/GSE288222/SRR32154433	match
SRR36251361	GSE288222	3612.0	3612.0	data/isoquant/GSE288222/SRR36251361	match
SRR32322922	GSE289428	1.0		data/isoquant_smartseq2/GSE289428	no_barcode_file
