statistic	pval	effect_equal_donor	effect_pooled_counts	hi_celltype	lo_celltype	n_features	n_celltypes	n_donors	min_donors_per_celltype	max_donors_per_celltype	gene	qval	sig
0.000600504663936818	0.002997002997002997	0.09529964350148584	0.21338487843842052	Dendritic cell	T cell	2	6	9	4	9	RNF168	0.451505016722408	False
0.00115692781640609	0.002997002997002997	0.19245736495678473	0.4964436147650525	Dendritic cell	Plasma cell	2	7	9	4	9	RPL13	0.451505016722408	False
0.0008231573410025871	0.002997002997002997	0.17077759032019682	0.2749328643353814	Plasma cell	Dendritic cell	2	6	13	4	13	SH3BGRL	0.451505016722408	False
0.0017108497884794145	0.002997002997002997	0.2877834248473027	0.26322115384615385	Dendritic cell	Monocyte	2	6	11	3	9	SLC38A10	0.451505016722408	False
0.0007946179616015181	0.002997002997002997	0.19792643398994209	0.15980148212257267	NK	Dendritic cell	2	6	9	4	9	TAFA2	0.451505016722408	False
0.0017895278070819442	0.002997002997002997	0.18230761929031775	0.23666962804029706	NK	Dendritic cell	2	6	13	4	13	VPS35	0.451505016722408	False
9.497590557031515e-05	0.002997002997002997	0.13575892064176132	0.18222439921628214	T cell	Plasma cell	2	7	18	4	18	WDFY2	0.451505016722408	False
0.00023346040107479442	0.003996003996003996	0.41557890628209865	0.4066799751003499	B cell	Dendritic cell	2	6	14	4	13	CYC1	0.4751131221719457	False
0.0008741850575349745	0.003996003996003996	0.1584249455921955	0.22013442431326707	T cell	Plasma cell	2	7	9	3	9	FRS2	0.4751131221719457	False
0.00017945235835331236	0.003996003996003996	0.11314719763841102	0.22046217361844284	Plasma cell	NK	2	6	12	3	12	GAB1	0.4751131221719457	False
0.0009926447305354173	0.003996003996003996	0.10093497338450785	0.16055930568948895	T cell	Monocyte	2	6	9	3	9	KAT2B	0.4751131221719457	False
0.0010044389878365698	0.003996003996003996	0.11329983457814913	0.12887637025635412	T cell	Erythroid	2	5	5	3	5	NDUFS2	0.4751131221719457	False
0.00037172572801159274	0.003996003996003996	0.07793450412291347	0.26894158055764006	T cell	Dendritic cell	2	5	3	3	3	NDUFS8	0.4751131221719457	False
0.0004976344860133513	0.003996003996003996	0.15000256391418637	0.2757517646472481	B cell	Plasma cell	2	7	13	4	13	RPLP1	0.4751131221719457	False
0.004968816336030878	0.003996003996003996	0.22611907623976735	0.3424781653383038	NK	Dendritic cell	2	6	13	3	13	SPN	0.4751131221719457	False
0.0002246525673577119	0.003996003996003996	0.10354143424880152	0.07454760644096303	T cell	Plasma cell	2	5	6	3	6	SSNA1	0.4751131221719457	False
0.0019796859951609234	0.003996003996003996	0.17715394604383833	0.2890127882921601	Dendritic cell	NK	2	7	13	4	12	USP10	0.4751131221719457	False
0.001271983974166899	0.003996003996003996	0.16099203060601786	0.16756557879675682	Monocyte	Dendritic cell	2	6	11	4	11	ZNF100	0.4751131221719457	False
0.00035052058385200017	0.004995004995004995	0.09013564965174342	0.1471096517756848	NK	Dendritic cell	2	7	11	4	11	BTRC	0.4751131221719457	False
0.0027980591109906285	0.004995004995004995	0.16309402703038545	0.2998956762794401	Plasma cell	Monocyte	2	4	6	3	6	FCGRT	0.4751131221719457	False
0.00016517940586591377	0.004995004995004995	0.1856410345652984	0.28353152384507363	Plasma cell	NK	2	7	14	4	14	HOOK3	0.4751131221719457	False
0.0014667568166517341	0.004995004995004995	0.27221072003680696	0.27421584263689525	Dendritic cell	Plasma cell	2	7	7	3	7	KIAA0319L	0.4751131221719457	False
0.00018779561725545106	0.004995004995004995	0.11376666005514025	0.5995819580725241	Dendritic cell	NK	2	7	9	3	9	NAP1L1	0.4751131221719457	False
0.0016625489377593114	0.004995004995004995	0.11806330957083033	0.17165654400381092	T cell	NK	2	6	8	3	8	RPS6KB2	0.4751131221719457	False
0.0003833650082083025	0.004995004995004995	0.1815230921975714	0.11605937921727394	T cell	Erythroid	2	6	7	3	7	SHOC1	0.4751131221719457	False
0.00016740274580853795	0.004995004995004995	0.07772696041506455	0.10389801367919577	NK	T cell	2	7	18	4	18	TCF4	0.4751131221719457	False
0.0007521263062680753	0.004995004995004995	0.16264314116016781	0.12640540999637317	Erythroid	Plasma cell	2	7	16	4	16	TM9SF4	0.4751131221719457	False
0.0028712367364098585	0.004995004995004995	0.273902935438907	0.35390896596329535	Erythroid	T cell	2	5	8	3	7	TMEM184C	0.4751131221719457	False
0.0007465241919110081	0.004995004995004995	0.09665788520342689	0.14495723124347148	Dendritic cell	Plasma cell	2	7	10	4	10	TNPO1	0.4751131221719457	False
0.0015279033833445704	0.004995004995004995	0.19745511590713083	0.15441996875896585	Erythroid	B cell	2	4	9	4	8	ZFP14	0.4751131221719457	False
0.0006631987431686735	0.004995004995004995	0.15144883884449611	0.19636995669022117	Dendritic cell	Erythroid	2	7	10	5	10	ZSWIM6	0.4751131221719457	False
0.0010073041057805073	0.005994005994005994	0.13565685342544065	0.3588985816865468	T cell	Plasma cell	2	6	6	4	6	APRT	0.4751131221719457	False
0.00022427991482389255	0.005994005994005994	0.13372240918395567	0.19406707482879115	Erythroid	Plasma cell	2	4	8	4	8	CPVL	0.4751131221719457	False
0.00023846683449117942	0.005994005994005994	0.10010350740103346	0.2596785151605667	NK	Dendritic cell	2	7	18	6	18	DNAJC15	0.4751131221719457	False
0.00034766658998489015	0.005994005994005994	0.12323664949850904	0.04984507918969977	T cell	B cell	2	4	8	3	8	FCHO2	0.4751131221719457	False
0.0009543682266077744	0.005994005994005994	0.15289653165993516	0.24006806832278382	Dendritic cell	NK	2	7	11	3	9	LARP7	0.4751131221719457	False
0.000574509574917386	0.005994005994005994	0.6703501729675848	0.703779153700555	Dendritic cell	NK	2	6	14	4	13	MAPRE1	0.4751131221719457	False
0.0006682662042575441	0.005994005994005994	0.11584807250776347	0.25197006072588624	Plasma cell	T cell	2	6	11	3	10	MLX	0.4751131221719457	False
0.0006437915009987762	0.005994005994005994	0.10065825044768623	0.18408937192434177	NK	Erythroid	2	7	13	4	13	NFATC2IP	0.4751131221719457	False
0.0007414080229109532	0.005994005994005994	0.08968597359983266	0.07596970092725608	Monocyte	B cell	2	5	7	5	6	NUCKS1	0.4751131221719457	False
0.0012122976629774203	0.005994005994005994	0.11976190476190474	0.17528949545078576	T cell	Dendritic cell	2	5	7	3	7	RAB4A	0.4751131221719457	False
9.120633858231101e-05	0.005994005994005994	0.060003812107781884	0.07552457563639647	Monocyte	Plasma cell	2	7	9	4	9	RPS14	0.4751131221719457	False
