gse	n_reads	n_distinct_chains	n_molecules
GSE307660	29	19	2
GSE307660	29	21	1
GSE307660	29	27	1
GSE307660	30	13	1
GSE307660	30	16	1
GSE307660	31	15	2
GSE307660	31	16	2
GSE307660	31	18	1
GSE307660	31	19	2
GSE307660	32	14	2
GSE307660	32	15	1
GSE307660	32	16	2
GSE307660	32	19	1
GSE307660	33	21	1
GSE307660	34	14	3
GSE307660	34	27	1
GSE307660	36	12	2
GSE307660	36	14	1
GSE307660	37	18	1
GSE307660	37	22	1
GSE307660	37	25	1
GSE307660	38	19	1
GSE307660	39	17	1
GSE307660	39	18	1
GSE307660	40	20	1
GSE307660	41	15	2
GSE307660	41	16	1
GSE307660	41	23	1
GSE307660	41	25	1
GSE307660	41	27	1
GSE307660	42	13	2
GSE307660	42	14	1
GSE307660	42	18	2
GSE307660	42	25	1
GSE307660	43	12	2
GSE307660	44	15	1
GSE307660	44	16	1
GSE307660	46	10	2
GSE307660	46	11	4
GSE307660	46	28	1
GSE307660	48	11	1
GSE307660	48	22	1
GSE307660	48	24	1
GSE307660	48	30	1
GSE307660	49	15	1
GSE307660	49	30	1
GSE307660	50	13	1
GSE307660	51	17	1
GSE307660	51	21	1
GSE307660	51	23	1
GSE307660	51	27	1
GSE307660	53	17	2
GSE307660	55	23	1
GSE307660	56	41	1
GSE307660	58	25	1
GSE307660	59	25	1
GSE307660	63	26	1
GSE307660	64	12	1
GSE307660	64	32	1
GSE307660	64	42	1
GSE307660	65	16	1
GSE307660	65	23	1
GSE307660	67	17	1
GSE307660	70	1	3
GSE307660	71	1	2
GSE307660	71	19	1
GSE307660	72	24	1
GSE307660	72	40	1
GSE307660	73	39	1
GSE307660	76	5	2
GSE307660	78	37	1
GSE307660	80	7	3
GSE307660	82	4	3
GSE307660	83	1	2
GSE307660	85	1	1
GSE307660	87	2	3
GSE307660	87	6	2
GSE307660	88	1	3
GSE307660	88	4	1
GSE307660	89	5	1
GSE307660	90	5	4
GSE307660	91	1	3
GSE307660	91	26	1
GSE307660	94	3	1
GSE307660	94	5	2
GSE307660	95	18	1
GSE307660	96	19	1
GSE307660	98	3	1
GSE307660	98	4	2
GSE307660	99	2	1
GSE307660	99	5	1
GSE307660	101	1	1
GSE307660	101	7	1
GSE307660	101	37	1
GSE307660	102	1	2
GSE307660	102	4	1
GSE307660	102	5	1
GSE307660	104	5	2
GSE307660	104	8	2
GSE307660	104	26	1
GSE307660	104	55	1
GSE307660	105	2	2
GSE307660	105	6	1
GSE307660	106	4	1
GSE307660	106	21	1
GSE307660	106	24	1
GSE307660	107	1	1
GSE307660	107	4	2
GSE307660	107	6	1
GSE307660	109	1	1
GSE307660	109	3	1
GSE307660	110	2	2
GSE307660	110	3	1
GSE307660	110	11	1
GSE307660	110	20	1
GSE307660	110	22	1
GSE307660	111	1	1
GSE307660	113	5	1
GSE307660	113	6	1
GSE307660	114	1	1
GSE307660	115	1	1
GSE307660	115	36	1
GSE307660	116	6	1
GSE307660	117	1	1
GSE307660	117	2	1
GSE307660	120	3	1
GSE307660	121	1	1
GSE307660	121	8	1
GSE307660	122	6	1
GSE307660	123	24	1
GSE307660	125	1	1
GSE307660	125	4	1
GSE307660	125	6	1
GSE307660	126	4	1
GSE307660	127	5	1
GSE307660	127	7	1
GSE307660	128	8	1
GSE307660	129	3	2
GSE307660	129	7	1
GSE307660	132	1	1
GSE307660	132	5	1
GSE307660	132	7	1
GSE307660	132	8	1
GSE307660	134	5	1
GSE307660	134	34	1
GSE307660	136	1	1
GSE307660	136	32	1
GSE307660	136	48	1
GSE307660	137	6	1
GSE307660	138	2	1
GSE307660	138	6	1
GSE307660	138	19	1
GSE307660	138	55	1
GSE307660	140	1	1
GSE307660	140	2	1
GSE307660	142	5	1
GSE307660	143	3	1
GSE307660	143	5	1
GSE307660	143	6	1
GSE307660	143	9	1
GSE307660	143	62	1
GSE307660	144	2	1
GSE307660	144	3	2
GSE307660	144	53	1
GSE307660	145	1	2
GSE307660	145	6	1
GSE307660	145	9	1
GSE307660	145	35	1
GSE307660	146	6	1
GSE307660	147	1	2
GSE307660	148	2	2
GSE307660	148	11	1
GSE307660	149	2	1
GSE307660	149	5	2
GSE307660	149	8	1
GSE307660	151	4	1
GSE307660	154	2	1
GSE307660	155	6	1
GSE307660	156	2	1
GSE307660	157	2	2
GSE307660	157	10	1
GSE307660	158	2	1
GSE307660	159	5	1
GSE307660	160	4	1
GSE307660	160	8	1
GSE307660	161	3	1
GSE307660	162	1	1
GSE307660	162	6	1
GSE307660	163	11	1
GSE307660	164	3	2
GSE307660	164	4	1
GSE307660	164	8	1
GSE307660	165	1	1
GSE307660	165	2	2
GSE307660	167	2	1
GSE307660	167	6	1
GSE307660	167	28	1
GSE307660	168	3	1
GSE307660	168	6	1
GSE307660	171	6	3
GSE307660	172	7	1
GSE307660	173	7	1
GSE307660	174	8	1
GSE307660	176	2	1
GSE307660	176	5	1
GSE307660	176	6	1
GSE307660	177	93	1
GSE307660	178	7	1
GSE307660	182	2	1
GSE307660	182	17	1
GSE307660	185	5	1
GSE307660	186	5	1
GSE307660	186	6	1
GSE307660	190	3	1
GSE307660	191	4	1
GSE307660	192	4	1
GSE307660	199	5	1
GSE307660	200	13	1
GSE307660	202	6	1
GSE307660	203	7	1
GSE307660	204	4	1
GSE307660	206	8	1
GSE307660	212	7	2
GSE307660	212	21	1
GSE307660	215	5	1
GSE307660	216	7	1
GSE307660	219	5	1
GSE307660	228	1	1
GSE307660	228	5	1
GSE307660	229	2	1
GSE307660	231	10	1
GSE307660	238	10	1
GSE307660	238	13	1
GSE307660	244	3	1
GSE307660	244	8	1
GSE307660	245	9	1
GSE307660	250	3	1
GSE307660	250	11	1
GSE307660	250	37	1
GSE307660	251	2	1
GSE307660	251	6	1
GSE307660	260	1	1
GSE307660	260	5	1
GSE307660	260	20	1
GSE307660	261	7	1
GSE307660	263	1	1
GSE307660	265	1	1
GSE307660	266	8	1
GSE307660	266	42	1
GSE307660	270	6	1
GSE307660	270	13	2
GSE307660	270	76	1
GSE307660	276	10	2
GSE307660	277	8	1
GSE307660	281	2	1
GSE307660	287	8	1
GSE307660	288	21	1
GSE307660	292	7	1
GSE307660	293	7	1
GSE307660	295	2	1
GSE307660	296	6	1
GSE307660	296	11	1
GSE307660	297	3	1
GSE307660	298	9	1
GSE307660	304	8	1
GSE307660	305	59	1
GSE307660	307	6	1
GSE307660	311	17	1
GSE307660	316	11	1
GSE307660	317	5	1
GSE307660	326	4	1
GSE307660	327	3	1
GSE307660	328	4	1
GSE307660	329	9	1
GSE307660	338	9	1
GSE307660	340	4	1
GSE307660	342	6	1
GSE307660	348	4	1
GSE307660	354	2	1
GSE307660	356	10	1
GSE307660	361	9	1
GSE307660	361	15	1
GSE307660	362	10	1
GSE307660	367	4	1
GSE307660	367	11	1
GSE307660	367	69	1
GSE307660	368	4	1
GSE307660	374	10	1
GSE307660	374	17	1
GSE307660	374	40	1
GSE307660	375	3	1
GSE307660	378	6	1
GSE307660	380	9	1
GSE307660	380	50	2
GSE307660	383	3	1
GSE307660	383	6	1
GSE307660	387	6	1
GSE307660	392	8	1
GSE307660	402	9	1
GSE307660	407	14	1
GSE307660	413	2	1
GSE307660	414	4	1
GSE307660	417	8	1
GSE307660	421	3	1
GSE307660	429	13	1
GSE307660	429	49	1
GSE307660	431	2	1
GSE307660	434	4	1
GSE307660	436	3	1
GSE307660	445	6	1
GSE307660	446	12	1
GSE307660	447	10	1
GSE307660	449	8	1
GSE307660	449	12	1
GSE307660	453	5	1
GSE307660	462	4	1
GSE307660	465	12	1
GSE307660	466	15	1
GSE307660	471	12	1
GSE307660	472	10	1
GSE307660	473	10	1
GSE307660	474	5	1
GSE307660	490	4	1
GSE307660	495	10	1
GSE307660	508	9	1
GSE307660	512	9	1
GSE307660	514	3	1
GSE307660	517	6	1
GSE307660	524	9	1
GSE307660	526	3	1
GSE307660	528	3	1
GSE307660	528	8	1
GSE307660	531	6	1
GSE307660	531	8	1
GSE307660	533	5	1
GSE307660	537	8	1
GSE307660	540	5	1
GSE307660	542	22	1
GSE307660	547	18	1
GSE307660	548	4	1
GSE307660	552	6	1
GSE307660	554	5	1
GSE307660	555	6	1
GSE307660	556	3	1
GSE307660	557	69	1
GSE307660	558	8	1
GSE307660	559	3	1
GSE307660	561	51	1
GSE307660	562	8	1
GSE307660	563	6	1
GSE307660	568	7	1
GSE307660	570	5	1
GSE307660	572	12	1
GSE307660	576	5	1
GSE307660	580	6	1
GSE307660	582	4	1
GSE307660	587	5	1
GSE307660	591	4	1
GSE307660	591	6	1
GSE307660	593	10	1
GSE307660	595	10	1
GSE307660	600	8	1
GSE307660	600	56	1
GSE307660	617	3	1
GSE307660	622	6	1
GSE307660	634	7	1
GSE307660	643	13	1
GSE307660	647	4	1
GSE307660	647	8	1
GSE307660	653	7	1
GSE307660	654	5	1
GSE307660	667	4	1
GSE307660	668	4	1
GSE307660	668	11	1
GSE307660	676	6	1
GSE307660	677	6	1
GSE307660	680	7	1
GSE307660	681	9	1
GSE307660	691	11	1
GSE307660	703	5	1
GSE307660	707	4	1
GSE307660	716	5	1
GSE307660	724	16	1
GSE307660	725	6	1
GSE307660	728	3	1
GSE307660	732	38	1
GSE307660	737	7	1
GSE307660	740	13	1
GSE307660	745	8	1
GSE307660	750	5	1
GSE307660	752	6	1
GSE307660	753	7	1
GSE307660	761	15	1
GSE307660	764	7	1
GSE307660	770	7	1
GSE307660	777	10	1
GSE307660	779	40	1
GSE307660	781	90	1
GSE307660	794	5	1
GSE307660	795	9	1
GSE307660	813	8	1
GSE307660	815	3	1
GSE307660	830	7	1
GSE307660	832	20	1
GSE307660	837	163	1
GSE307660	857	9	1
GSE307660	858	16	1
GSE307660	865	7	1
GSE307660	867	10	1
GSE307660	885	70	1
GSE307660	893	8	1
GSE307660	899	7	1
GSE307660	905	8	1
GSE307660	919	5	1
GSE307660	921	7	1
GSE307660	921	9	1
GSE307660	927	174	1
GSE307660	936	7	1
GSE307660	939	10	1
GSE307660	947	8	1
GSE307660	952	10	1
GSE307660	959	8	1
GSE307660	966	5	1
GSE307660	972	9	1
GSE307660	977	8	1
GSE307660	978	4	1
GSE307660	983	8	1
GSE307660	986	5	1
GSE307660	992	9	1
GSE307660	999	9	1
GSE307660	1007	5	1
GSE307660	1007	19	1
GSE307660	1022	7	1
GSE307660	1041	8	1
GSE307660	1042	123	1
GSE307660	1050	8	1
GSE307660	1056	171	1
GSE307660	1056	380	1
GSE307660	1060	17	1
GSE307660	1069	21	1
GSE307660	1070	14	1
GSE307660	1076	7	1
GSE307660	1080	11	1
GSE307660	1084	7	1
GSE307660	1092	6	1
GSE307660	1110	18	1
GSE307660	1128	7	1
GSE307660	1131	15	1
GSE307660	1132	10	1
GSE307660	1142	5	1
GSE307660	1144	17	1
GSE307660	1149	8	1
GSE307660	1150	9	1
GSE307660	1165	7	1
GSE307660	1174	16	1
GSE307660	1182	19	1
GSE307660	1184	5	1
GSE307660	1191	9	1
GSE307660	1231	18	1
GSE307660	1234	9	1
GSE307660	1236	10	1
GSE307660	1262	5	1
GSE307660	1271	138	1
GSE307660	1285	10	1
GSE307660	1299	14	1
GSE307660	1300	119	1
GSE307660	1305	9	1
GSE307660	1311	9	1
GSE307660	1324	11	1
GSE307660	1333	7	1
GSE307660	1347	9	1
GSE307660	1353	19	1
GSE307660	1353	98	1
GSE307660	1355	11	1
GSE307660	1364	17	1
GSE307660	1369	73	1
GSE307660	1378	129	1
GSE307660	1379	13	1
GSE307660	1392	10	1
GSE307660	1395	7	1
GSE307660	1396	5	1
GSE307660	1397	7	1
GSE307660	1401	11	1
GSE307660	1406	21	1
GSE307660	1408	10	1
GSE307660	1413	10	1
GSE307660	1414	6	1
GSE307660	1419	10	1
GSE307660	1425	11	1
GSE307660	1431	11	1
GSE307660	1449	10	1
GSE307660	1456	4	1
GSE307660	1456	6	1
GSE307660	1458	14	1
GSE307660	1466	9	1
GSE307660	1479	6	1
GSE307660	1484	11	1
GSE307660	1496	8	1
GSE307660	1503	248	1
GSE307660	1514	18	1
GSE307660	1518	14	1
GSE307660	1546	7	1
GSE307660	1548	9	1
GSE307660	1557	10	1
GSE307660	1559	8	1
GSE307660	1562	191	1
GSE307660	1575	12	1
GSE307660	1605	9	1
GSE307660	1605	12	1
GSE307660	1607	8	1
GSE307660	1610	10	1
GSE307660	1611	7	1
GSE307660	1619	4	1
GSE307660	1626	14	1
GSE307660	1633	3	1
GSE307660	1637	8	1
GSE307660	1644	9	1
GSE307660	1645	9	1
GSE307660	1646	7	1
GSE307660	1657	48	1
GSE307660	1670	6	1
GSE307660	1673	9	1
GSE307660	1678	6	1
GSE307660	1680	53	1
GSE307660	1703	13	1
GSE307660	1721	6	1
GSE307660	1725	10	1
GSE307660	1730	14	1
GSE307660	1744	182	1
GSE307660	1751	9	1
GSE307660	1759	15	1
GSE307660	1783	389	1
GSE307660	1784	9	1
GSE307660	1795	82	1
GSE307660	1807	262	1
GSE307660	1810	9	1
GSE307660	1823	7	1
GSE307660	1824	7	1
GSE307660	1843	9	1
GSE307660	1848	9	1
GSE307660	1848	13	1
GSE307660	1850	16	1
GSE307660	1884	8	1
GSE307660	1895	11	1
GSE307660	1912	23	1
GSE307660	1930	7	1
GSE307660	1932	8	1
GSE307660	1939	23	1
GSE307660	1961	10	1
GSE307660	1978	8	1
GSE307660	1986	12	1
GSE307660	1990	9	1
GSE307660	2037	9	1
GSE307660	2042	121	1
GSE307660	2093	97	1
GSE307660	2095	15	1
GSE307660	2101	8	1
GSE307660	2106	5	1
GSE307660	2115	11	1
GSE307660	2123	507	1
GSE307660	2148	13	1
GSE307660	2148	148	1
GSE307660	2155	157	1
GSE307660	2161	7	1
GSE307660	2161	123	1
GSE307660	2165	11	1
GSE307660	2168	15	1
GSE307660	2186	14	1
GSE307660	2207	396	1
GSE307660	2211	16	1
GSE307660	2223	12	1
GSE307660	2265	17	1
GSE307660	2275	18	1
GSE307660	2295	11	1
GSE307660	2298	8	1
GSE307660	2306	15	1
GSE307660	2307	11	1
GSE307660	2313	65	1
GSE307660	2320	10	1
GSE307660	2338	12	1
GSE307660	2343	74	1
GSE307660	2377	14	1
GSE307660	2389	16	1
GSE307660	2394	26	1
GSE307660	2428	13	1
GSE307660	2435	26	1
GSE307660	2466	14	1
GSE307660	2473	8	1
GSE307660	2486	12	1
GSE307660	2497	18	1
GSE307660	2516	8	1
GSE307660	2536	13	1
GSE307660	2537	11	1
GSE307660	2558	9	1
GSE307660	2562	10	1
GSE307660	2573	16	1
GSE307660	2583	14	1
GSE307660	2587	98	1
GSE307660	2612	14	1
GSE307660	2623	26	1
GSE307660	2650	12	1
GSE307660	2653	91	1
GSE307660	2664	61	1
GSE307660	2679	37	1
GSE307660	2730	18	1
GSE307660	2733	19	1
GSE307660	2742	19	1
GSE307660	2749	293	1
GSE307660	2784	10	1
GSE307660	2784	19	1
GSE307660	2792	11	1
GSE307660	2799	13	1
GSE307660	2819	93	1
GSE307660	2842	16	1
GSE307660	2939	17	1
GSE307660	2944	9	1
GSE307660	2952	18	1
GSE307660	2971	11	1
GSE307660	2973	20	1
GSE307660	2982	16	1
GSE307660	3050	123	1
GSE307660	3053	99	1
GSE307660	3054	12	1
GSE307660	3116	358	1
GSE307660	3127	15	1
GSE307660	3134	15	1
GSE307660	3150	16	1
GSE307660	3177	16	1
GSE307660	3184	17	1
GSE307660	3198	6	1
GSE307660	3237	16	1
GSE307660	3243	20	1
GSE307660	3244	17	1
GSE307660	3256	15	1
GSE307660	3286	170	1
GSE307660	3335	156	1
GSE307660	3362	13	1
GSE307660	3427	85	1
GSE307660	3475	11	1
GSE307660	3484	15	1
GSE307660	3519	152	1
GSE307660	3541	18	1
GSE307660	3543	19	1
GSE307660	3551	197	1
GSE307660	3619	18	1
GSE307660	3624	12	1
GSE307660	3635	15	1
GSE307660	3640	21	1
GSE307660	3644	23	1
GSE307660	3658	168	1
GSE307660	3675	28	1
GSE307660	3714	24	1
GSE307660	3774	17	1
GSE307660	3801	14	1
GSE307660	3832	23	1
GSE307660	3848	11	1
GSE307660	3855	15	1
GSE307660	3863	22	1
GSE307660	3894	19	1
GSE307660	3999	15	1
GSE307660	4002	95	1
GSE307660	4074	16	1
GSE307660	4099	10	1
GSE307660	4128	15	1
GSE307660	4150	26	1
GSE307660	4165	15	1
GSE307660	4198	16	1
GSE307660	4198	21	1
GSE307660	4199	12	1
GSE307660	4252	16	1
GSE307660	4329	12	1
GSE307660	4395	16	1
GSE307660	4413	22	1
GSE307660	4440	23	1
GSE307660	4461	30	1
GSE307660	4505	173	1
GSE307660	4559	47	1
GSE307660	4622	21	1
GSE307660	4624	26	1
GSE307660	4634	584	1
GSE307660	4637	19	1
GSE307660	4733	17	1
GSE307660	4749	18	1
GSE307660	4790	17	1
GSE307660	4816	22	1
GSE307660	4916	19	1
GSE307660	5006	20	1
GSE307660	5030	23	1
GSE307660	5039	25	1
GSE307660	5066	575	1
GSE307660	5113	567	1
GSE307660	5134	19	1
GSE307660	5139	13	1
GSE307660	5226	28	1
GSE307660	5328	538	1
GSE307660	5529	918	1
GSE307660	5554	21	1
GSE307660	5822	298	1
GSE307660	5920	22	1
GSE307660	6044	24	1
GSE307660	6047	18	1
GSE307660	6055	63	1
GSE307660	6128	178	1
GSE307660	6274	26	1
GSE307660	6286	21	1
GSE307660	6300	25	1
GSE307660	6386	22	1
GSE307660	6482	31	1
GSE307660	6704	20	1
GSE307660	6760	30	1
GSE307660	6892	343	1
GSE307660	7095	142	1
GSE307660	7114	122	1
GSE307660	7552	37	1
GSE307660	7589	86	1
GSE307660	7816	30	1
GSE307660	7884	27	1
GSE307660	7935	27	1
GSE307660	8027	17	1
GSE307660	8301	28	1
GSE307660	8886	280	1
GSE307660	9293	40	1
GSE307660	9302	24	1
GSE307660	11661	268	1
GSE307660	12550	322	1
GSE307660	12686	105	1
GSE307660	12770	233	1
GSE307660	13235	283	1
GSE307660	13504	43	1
GSE307660	15874	250	1
GSE307660	18300	364	1
GSE307660	18925	218	1
GSE307660	19485	242	1
GSE307660	20306	767	1
GSE307660	21916	66	1
GSE307660	23145	518	1
GSE307660	24906	518	1
GSE307660	25947	251	1
GSE307660	26057	239	1
GSE307660	30147	228	1
GSE307660	31095	472	1
GSE307660	31677	203	1
GSE307660	35736	622	1
GSE307660	35773	755	1
GSE307660	24	17	1
GSE307660	29	12	2
GSE307660	32	11	2
GSE307660	38	12	3
GSE307660	42	10	4
GSE307660	49	14	1
GSE307660	49	20	1
GSE307660	51	15	1
GSE307660	60	12	1
GSE307660	64	8	5
GSE307660	65	38	1
GSE307660	77	26	2
GSE307660	85	4	1
GSE307660	86	1	1
GSE307660	89	1	1
GSE307660	92	1	1
GSE307660	93	1	2
GSE307660	103	7	2
GSE307660	109	2	2
GSE307660	110	5	1
GSE307660	118	2	1
GSE307660	119	46	1
GSE307660	120	4	1
GSE307660	124	2	1
GSE307660	125	2	1
GSE307660	125	3	1
GSE307660	126	2	1
GSE307660	127	22	1
GSE307660	129	2	1
GSE307660	131	6	1
GSE307660	132	2	2
GSE307660	134	4	1
GSE307660	137	5	1
GSE307660	139	5	1
GSE307660	139	14	1
GSE307660	146	5	1
GSE307660	146	7	1
GSE307660	150	4	1
GSE307660	152	3	1
GSE307660	153	2	1
GSE307660	153	5	1
GSE307660	156	1	1
GSE307660	156	26	1
GSE307660	157	3	2
GSE307660	171	9	1
GSE307660	172	34	1
GSE307660	178	2	1
GSE307660	180	2	1
GSE307660	186	4	1
GSE307660	188	7	1
GSE307660	189	6	1
GSE307660	189	45	1
GSE307660	190	16	1
GSE307660	191	1	1
GSE307660	192	7	1
GSE307660	193	4	1
GSE307660	195	6	1
GSE307660	196	3	1
GSE307660	201	5	1
GSE307660	212	3	1
GSE307660	215	2	1
GSE307660	219	7	1
GSE307660	224	1	1
GSE307660	225	6	1
GSE307660	226	2	1
GSE307660	235	1	1
GSE307660	235	4	1
GSE307660	240	3	1
GSE307660	242	7	1
GSE307660	243	7	1
GSE307660	248	2	1
GSE307660	252	4	1
GSE307660	252	6	1
GSE307660	256	2	1
GSE307660	261	1	1
GSE307660	272	12	1
GSE307660	273	4	1
GSE307660	290	45	1
GSE307660	308	4	1
GSE307660	310	2	1
GSE307660	314	4	1
GSE307660	321	9	1
GSE307660	333	4	1
GSE307660	342	4	1
GSE307660	345	9	1
GSE307660	348	5	1
GSE307660	358	2	1
GSE307660	363	2	1
GSE307660	367	9	1
GSE307660	370	17	1
GSE307660	390	4	1
GSE307660	393	4	1
GSE307660	397	61	1
GSE307660	398	3	1
GSE307660	409	5	1
GSE307660	425	4	1
GSE307660	433	2	1
GSE307660	438	4	1
GSE307660	449	3	1
GSE307660	483	6	1
GSE307660	493	15	1
GSE307660	504	8	1
GSE307660	512	4	1
GSE307660	523	7	1
GSE307660	529	6	1
GSE307660	533	6	1
GSE307660	549	5	1
GSE307660	551	6	1
GSE307660	555	5	1
GSE307660	558	5	1
GSE307660	574	4	1
GSE307660	578	5	1
GSE307660	598	9	1
GSE307660	610	8	1
GSE307660	621	13	1
GSE307660	643	2	1
GSE307660	644	5	1
GSE307660	644	12	1
GSE307660	649	8	1
GSE307660	662	11	1
GSE307660	668	6	1
GSE307660	684	6	1
GSE307660	695	10	1
GSE307660	700	6	1
GSE307660	703	4	1
GSE307660	709	10	1
GSE307660	718	6	1
GSE307660	737	4	1
GSE307660	739	6	1
GSE307660	755	3	1
GSE307660	766	5	1
GSE307660	767	8	1
GSE307660	773	3	1
GSE307660	773	13	1
GSE307660	778	10	1
GSE307660	779	10	1
GSE307660	779	72	1
GSE307660	783	10	1
GSE307660	808	7	1
GSE307660	812	15	1
GSE307660	819	17	1
GSE307660	828	6	1
GSE307660	841	8	1
GSE307660	856	6	1
GSE307660	860	9	1
GSE307660	867	7	1
GSE307660	868	13	1
GSE307660	871	7	1
GSE307660	916	6	1
GSE307660	919	16	1
GSE307660	920	9	1
GSE307660	938	7	1
GSE307660	944	53	1
GSE307660	947	11	1
GSE307660	958	8	1
GSE307660	958	11	1
GSE307660	959	10	1
GSE307660	968	5	1
GSE307660	988	4	1
GSE307660	1046	7	1
GSE307660	1056	7	1
GSE307660	1087	16	1
GSE307660	1096	14	1
GSE307660	1098	10	1
GSE307660	1163	20	1
GSE307660	1171	5	1
GSE307660	1188	6	1
GSE307660	1217	7	1
GSE307660	1235	23	1
GSE307660	1239	6	1
GSE307660	1262	7	1
GSE307660	1262	11	1
GSE307660	1292	9	1
GSE307660	1327	8	1
GSE307660	1537	11	1
GSE307660	1544	19	1
GSE307660	1547	12	1
GSE307660	1583	13	1
GSE307660	1595	26	1
GSE307660	1601	9	1
GSE307660	1647	18	1
GSE307660	1682	7	1
GSE307660	1722	11	1
GSE307660	1785	13	1
GSE307660	1806	13	1
GSE307660	1904	13	1
GSE307660	1911	13	1
GSE307660	2064	10	1
GSE307660	2076	14	1
GSE307660	2098	14	1
GSE307660	2226	13	1
GSE307660	2248	10	1
GSE307660	2312	22	1
GSE307660	2365	9	1
GSE307660	2451	14	1
GSE307660	2460	30	1
GSE307660	2469	13	1
GSE307660	2518	14	1
GSE307660	2623	11	1
GSE307660	2623	12	1
GSE307660	2637	17	1
GSE307660	2639	14	1
GSE307660	2702	25	1
GSE307660	2834	18	1
GSE307660	2863	19	1
GSE307660	2900	18	1
GSE307660	2906	19	1
GSE307660	2983	16	1
GSE307660	3009	7	1
GSE307660	3038	28	1
GSE307660	3093	18	1
GSE307660	3108	115	1
GSE307660	3211	9	1
GSE307660	3221	16	1
GSE307660	3242	18	1
GSE307660	3257	342	1
GSE307660	3270	34	1
GSE307660	3315	28	1
GSE307660	3398	20	1
GSE307660	3540	21	1
GSE307660	3564	15	1
GSE307660	3664	25	1
GSE307660	3886	23	1
GSE307660	4071	43	1
GSE307660	4178	28	1
GSE307660	4274	55	1
GSE307660	4385	22	1
GSE307660	4612	23	1
GSE307660	4852	19	1
GSE307660	4881	30	1
GSE307660	4924	25	1
GSE307660	5073	25	1
GSE307660	5093	23	1
GSE307660	5139	26	1
GSE307660	5335	26	1
GSE307660	5383	26	1
GSE307660	5470	31	1
GSE307660	5862	17	1
GSE307660	6036	32	1
GSE307660	6708	161	1
GSE307660	6826	117	1
GSE307660	6976	32	1
GSE307660	7292	30	1
GSE307660	7548	30	1
GSE307660	7888	37	1
GSE307660	7987	28	1
GSE307660	8438	185	1
GSE307660	8836	31	1
GSE307660	9234	36	1
GSE307660	9499	33	1
GSE307660	9518	36	1
GSE307660	9619	34	1
GSE307660	10015	35	1
GSE307660	10793	72	1
GSE307660	12413	263	1
GSE307660	13793	233	1
GSE307660	15256	317	1
GSE307660	15972	61	1
GSE307660	17491	54	1
GSE307660	26593	543	1
GSE307660	29118	261	1
GSE307660	47	12	1
GSE307660	54	8	5
GSE307660	66	13	1
GSE307660	71	8	2
GSE307660	76	10	1
GSE307660	81	8	1
GSE307660	85	13	1
GSE307660	87	8	1
GSE307660	93	9	2
GSE307660	94	11	1
GSE307660	97	5	1
GSE307660	97	10	1
GSE307660	98	9	1
GSE307660	100	10	1
GSE307660	107	19	1
GSE307660	108	8	1
GSE307660	115	8	1
GSE307660	120	12	1
GSE307660	126	6	1
GSE307660	130	7	1
GSE307660	136	7	1
GSE307660	136	14	1
GSE307660	141	6	1
GSE307660	148	13	1
GSE307660	166	12	1
GSE307660	175	10	1
GSE307660	185	12	1
GSE307660	241	15	1
GSE307660	405	22	1
GSE307660	457	19	1
GSE307660	946	35	1
GSE307660	967	32	1
GSE307660	982	33	1
GSE307660	1009	31	1
GSE307660	2411	60	1
GSE307660	2929	56	1
GSE307660	3780	65	1
GSE307660	4117	71	1
GSE307660	29	14	1
GSE307660	33	15	1
GSE307660	361	27	1
GSE307660	17572	168	1
GSE307660	23	12	2
GSE307660	33	12	2
GSE307660	33	14	1
GSE307660	35	13	1
GSE307660	37	12	1
GSE307660	37	16	1
GSE307660	39	11	3
GSE307660	40	13	1
GSE307660	40	14	1
GSE307660	40	15	1
GSE307660	41	12	1
GSE307660	43	10	1
GSE307660	43	11	2
GSE307660	44	12	1
GSE307660	44	13	1
GSE307660	45	25	1
GSE307660	46	21	1
GSE307660	48	13	2
GSE307660	48	15	1
GSE307660	49	11	1
GSE307660	51	9	1
GSE307660	51	10	1
GSE307660	54	10	1
GSE307660	57	14	1
GSE307660	58	10	1
GSE307660	58	11	1
GSE307660	59	9	1
GSE307660	60	7	3
GSE307660	62	10	1
GSE307660	62	15	1
GSE307660	65	10	1
GSE307660	66	14	1
GSE307660	67	9	2
GSE307660	68	21	1
GSE307660	69	14	1
GSE307660	70	11	1
GSE307660	70	12	1
GSE307660	71	20	1
GSE307660	72	7	1
GSE307660	72	11	1
GSE307660	75	9	1
GSE307660	76	12	1
GSE307660	78	10	1
GSE307660	78	16	1
GSE307660	81	9	3
GSE307660	83	10	1
GSE307660	85	7	1
GSE307660	85	12	1
GSE307660	86	29	1
GSE307660	87	10	1
GSE307660	88	6	1
GSE307660	88	19	1
GSE307660	90	7	1
GSE307660	92	12	1
GSE307660	93	6	1
GSE307660	96	14	1
GSE307660	97	6	1
GSE307660	99	9	1
GSE307660	101	17	1
GSE307660	105	9	1
GSE307660	106	8	1
GSE307660	107	9	1
GSE307660	107	10	1
GSE307660	109	10	2
GSE307660	110	8	1
GSE307660	111	11	1
GSE307660	119	8	1
GSE307660	119	13	1
GSE307660	121	33	1
GSE307660	123	9	1
GSE307660	126	14	1
GSE307660	135	13	1
GSE307660	144	15	1
GSE307660	149	27	1
GSE307660	155	37	1
GSE307660	186	8	1
GSE307660	216	37	1
GSE307660	218	16	1
GSE307660	244	20	1
GSE307660	246	70	1
GSE307660	253	53	1
GSE307660	294	48	1
