gse	n_reads	n_distinct_chains	n_molecules
GSE307660	74	8	5
GSE307660	74	11	2
GSE307660	75	3	7
GSE307660	75	4	6
GSE307660	75	6	4
GSE307660	75	7	1
GSE307660	75	8	6
GSE307660	75	10	2
GSE307660	76	3	8
GSE307660	76	4	4
GSE307660	76	6	2
GSE307660	76	7	5
GSE307660	76	8	6
GSE307660	76	9	1
GSE307660	77	3	6
GSE307660	77	4	9
GSE307660	77	6	3
GSE307660	77	9	2
GSE307660	77	10	2
GSE307660	78	5	2
GSE307660	78	6	3
GSE307660	78	8	4
GSE307660	78	9	2
GSE307660	79	7	4
GSE307660	79	8	3
GSE307660	79	9	1
GSE307660	80	5	3
GSE307660	80	8	1
GSE307660	80	9	3
GSE307660	80	10	2
GSE307660	81	4	1
GSE307660	81	5	8
GSE307660	81	6	3
GSE307660	81	10	3
GSE307660	81	11	2
GSE307660	82	5	3
GSE307660	82	7	2
GSE307660	82	8	1
GSE307660	82	9	1
GSE307660	82	10	1
GSE307660	82	11	2
GSE307660	83	6	1
GSE307660	83	7	2
GSE307660	83	8	3
GSE307660	83	9	2
GSE307660	84	7	5
GSE307660	84	8	2
GSE307660	84	9	4
GSE307660	84	10	1
GSE307660	85	8	2
GSE307660	85	9	3
GSE307660	85	10	2
GSE307660	86	5	4
GSE307660	86	6	2
GSE307660	86	8	2
GSE307660	86	10	3
GSE307660	87	5	4
GSE307660	87	9	1
GSE307660	88	8	1
GSE307660	88	10	1
GSE307660	89	6	2
GSE307660	89	7	4
GSE307660	89	8	2
GSE307660	89	9	2
GSE307660	89	11	2
GSE307660	89	16	1
GSE307660	90	9	3
GSE307660	90	10	2
GSE307660	91	9	2
GSE307660	92	6	2
GSE307660	92	10	1
GSE307660	92	11	1
GSE307660	93	8	5
GSE307660	94	7	2
GSE307660	94	9	3
GSE307660	95	8	1
GSE307660	95	9	1
GSE307660	96	6	2
GSE307660	96	10	1
GSE307660	97	7	2
GSE307660	97	9	2
GSE307660	98	7	2
GSE307660	100	4	6
GSE307660	100	7	1
GSE307660	101	13	2
GSE307660	102	8	1
GSE307660	102	10	1
GSE307660	103	5	2
GSE307660	104	7	3
GSE307660	104	11	1
GSE307660	105	8	3
GSE307660	105	20	1
GSE307660	106	7	1
GSE307660	106	13	1
GSE307660	108	11	1
GSE307660	108	12	1
GSE307660	109	6	3
GSE307660	109	8	2
GSE307660	110	10	2
GSE307660	110	13	1
GSE307660	111	9	1
GSE307660	113	10	1
GSE307660	114	18	1
GSE307660	116	7	1
GSE307660	117	10	1
GSE307660	121	6	3
GSE307660	121	12	1
GSE307660	123	15	1
GSE307660	135	11	1
GSE307660	137	21	1
GSE307660	141	12	1
GSE307660	144	13	1
GSE307660	149	21	1
GSE307660	151	16	1
GSE307660	159	10	1
GSE307660	160	12	1
GSE307660	167	11	1
GSE307660	175	15	1
GSE307660	194	21	1
GSE307660	218	22	1
GSE307660	220	30	1
GSE307660	231	16	1
GSE307660	305	15	1
GSE307660	308	23	1
GSE307660	308	36	1
GSE307660	313	33	1
GSE307660	433	37	1
GSE307660	539	37	1
GSE307660	585	56	1
GSE307660	590	50	1
GSE307660	601	29	1
GSE307660	651	59	1
GSE307660	682	55	1
GSE307660	721	31	1
GSE307660	727	56	1
GSE307660	763	33	1
GSE307660	1100	46	1
GSE307660	1433	47	1
GSE307660	1933	54	1
GSE307660	2244	71	1
GSE307660	2321	62	1
GSE307660	3378	80	1
GSE307660	3881	95	1
GSE307660	3930	85	1
GSE307660	4183	105	1
GSE307660	4442	89	1
GSE307660	4756	97	1
GSE307660	9486	146	1
GSE307660	9613	151	1
GSE307660	10434	149	1
GSE307660	15302	171	1
GSE307660	16355	159	1
GSE307660	16520	186	1
GSE307660	20263	297	1
GSE307660	20570	193	1
GSE307660	7	7	642
GSE307660	9	9	91
GSE307660	15	8	105
GSE307660	28	9	9
GSE307660	37	9	10
GSE307660	40	1	125
GSE307660	47	1	64
GSE307660	49	9	3
GSE307660	50	1	46
GSE307660	63	7	5
GSE307660	77	8	1
GSE307660	80	4	3
GSE307660	84	6	1
GSE307660	91	2	3
GSE307660	93	10	1
GSE307660	104	6	2
GSE307660	117	9	1
GSE307660	119	4	3
GSE307660	123	8	1
GSE307660	128	12	1
GSE307660	151	25	1
GSE307660	203	2	2
GSE307660	236	3	1
GSE307660	625	28	1
GSE307660	2192	51	1
GSE307660	12	7	323
GSE307660	8	8	224
GSE307660	9	8	246
GSE307660	11	9	96
GSE307660	11	10	38
GSE307660	12	8	157
GSE307660	12	9	75
GSE307660	13	8	131
GSE307660	13	9	77
GSE307660	13	10	46
GSE307660	13	11	29
GSE307660	14	8	112
GSE307660	14	9	50
GSE307660	14	10	39
GSE307660	15	11	17
GSE307660	16	9	42
GSE307660	16	10	21
GSE307660	16	11	20
GSE307660	16	12	6
GSE307660	16	15	5
GSE307660	17	9	40
GSE307660	17	10	14
GSE307660	17	12	6
GSE307660	18	9	39
GSE307660	18	10	34
GSE307660	18	11	9
GSE307660	19	9	28
GSE307660	19	10	25
GSE307660	19	11	13
GSE307660	20	9	47
GSE307660	20	10	11
GSE307660	20	11	12
GSE307660	20	12	11
GSE307660	20	17	1
GSE307660	21	8	49
GSE307660	21	9	24
GSE307660	21	10	24
GSE307660	21	12	3
GSE307660	22	9	30
GSE307660	22	10	12
GSE307660	22	11	12
GSE307660	22	15	2
GSE307660	23	8	37
GSE307660	23	9	26
GSE307660	23	13	5
GSE307660	24	9	24
GSE307660	24	11	10
GSE307660	24	12	7
GSE307660	25	9	16
GSE307660	25	10	15
GSE307660	26	9	14
GSE307660	26	10	12
GSE307660	26	11	11
GSE307660	27	9	13
