gene	n_donors	n_studies	n_donors_imbalanced	pooled_depth	pooled_ratio	study_baseline	pooled_deviation	pval	qval	sig_imbalanced	recurrent
CRYGS	11.0	5.0	11.0	753.0	0.4342629482071713	0.49326792722060236	-0.05900497901343105	0.0012012355299801897	0.002197117097878803	False	True
LINC01278	59.0	15.0	11.0	63119.0	0.4955084839747144	0.48906752940891707	0.006440954565797352	0.0012072583453493434	0.0022073777545445774	False	True
PROX1	18.0	7.0	11.0	5178.0	0.4719969100038625	0.49441398125561337	-0.022417071251750853	0.0012536197703469673	0.002286336032538717	False	True
ENSG00000274001	12.0	8.0	11.0	638.0	0.40752351097178685	0.4706515520340193	-0.06312804106223247	0.0014004048414196382	0.0025359927952042865	False	True
ENSG00000279738	40.0	14.0	11.0	6892.0	0.5017411491584446	0.4827106390735859	0.019030510084858676	0.0015688166931311122	0.002824021004257905	False	True
SIPA1L2	37.0	10.0	11.0	35064.0	0.5022815423226101	0.49388449567173376	0.008397046650876372	0.0016609041574776556	0.0029793234755022767	False	True
CSF3R	17.0	5.0	11.0	8195.0	0.46955460646735814	0.4523741586869226	0.017180447780435537	0.0017794395767580856	0.0031780863890593235	False	True
MARCKSL1	11.0	6.0	11.0	2147.0	0.4424778761061947	0.4761031618167781	-0.033625285710583375	0.0018105407303745022	0.0032313981961564035	False	True
AKT3	42.0	10.0	11.0	67797.0	0.49537590158856587	0.4893987509653231	0.005977150623242777	0.001849804320964846	0.003299033732251285	False	True
GLIS2-AS1	11.0	6.0	11.0	336.0	0.40773809523809523	0.49254903421451485	-0.08481093897641961	0.0018736263136444457	0.0033404044851332764	False	True
ZNF408	15.0	7.0	11.0	1115.0	0.442152466367713	0.4885344659981929	-0.0463819996304799	0.001945984777712754	0.0034621502833153918	False	True
TAFA1	28.0	7.0	11.0	3285.0	0.5028919330289193	0.4759887890814074	0.02690314394751192	0.002018714072181749	0.00358319593010485	False	True
ENSG00000225140	16.0	7.0	11.0	2070.0	0.5241545893719807	0.49038423400699305	0.033770355364987625	0.002115741814014971	0.003744759921063917	False	True
NLRP3	16.0	5.0	11.0	3728.0	0.48175965665236054	0.4567320531117207	0.02502760354063982	0.002156796865040928	0.0038129160227511967	False	True
EID2	21.0	11.0	11.0	2875.0	0.512	0.4836697851184019	0.028330214881598093	0.002368148960655582	0.0041631486803048725	False	True
KCNJ5-AS1	15.0	7.0	11.0	855.0	0.4421052631578947	0.4938969204155888	-0.05179165725769408	0.0024533102072823777	0.004299929798354344	False	True
KIAA1614	18.0	7.0	11.0	1676.0	0.5334128878281623	0.4964742418198287	0.03693864600833363	0.0024901475029864614	0.004358602354062466	False	True
CENPO	23.0	9.0	11.0	5016.0	0.5067783094098883	0.48561705920301934	0.021161250206868987	0.002711536711361138	0.004724417717033481	False	True
SIAH2	28.0	9.0	11.0	5725.0	0.4634061135371179	0.4831954464152499	-0.019789332878132004	0.0027322164762085613	0.004758011610767667	False	True
SPTBN1-AS1	16.0	7.0	11.0	5175.0	0.47594202898550725	0.49676331913815225	-0.020821290152645	0.002737934451599388	0.004766859818826947	False	True
ENSG00000286388	14.0	8.0	11.0	561.0	0.5508021390374331	0.48763887972284714	0.063163259314586	0.0027623727217084165	0.004806500273576729	False	True
ZNF676	19.0	7.0	11.0	12810.0	0.5100702576112413	0.4969145875903843	0.013155670020856935	0.0029012879443200334	0.005033464176793752	False	True
RNF135	32.0	9.0	11.0	4136.0	0.5123307543520309	0.4892558707850703	0.02307488356696058	0.0029910394915795336	0.005180287116486055	False	True
MMRN2	22.0	7.0	11.0	4822.0	0.5170053919535462	0.49566100964008086	0.02134438231346536	0.0030322845908308904	0.005245650451541417	False	True
FZD5	13.0	5.0	11.0	687.0	0.438136826783115	0.4946744108745075	-0.05653758409139248	0.003037218478058144	0.0052536999240196695	False	True
ZDHHC18	28.0	9.0	11.0	2995.0	0.5048414023372287	0.4778385397447301	0.027002862592498622	0.003091836199188391	0.005343729277191133	False	True
ENSG00000289959	12.0	2.0	11.0	676.0	0.5088757396449705	0.4524721453897865	0.056403594255183986	0.0032157119716576463	0.005545787666262772	False	True
ENSG00000227279	19.0	7.0	11.0	2142.0	0.4612511671335201	0.4930004290199774	-0.031749261886457325	0.0032915564468741945	0.00566874957237275	False	True
LINC01389	23.0	9.0	11.0	1588.0	0.5251889168765743	0.4886723521269188	0.03651656474965553	0.0036016245546407945	0.006170090783511233	False	True
