study	run	cell_type	class	reads
GSE276974	ONT10X2_19	Monocyte	ABC	23
GSE276974	ONT10X2_19	Monocyte	B	173
GSE276974	ONT10X2_19	Monocyte	BC	35
GSE276974	ONT10X2_19	Monocyte	C	1
GSE276974	ONT10X2_19	Monocyte	RO	70
GSE276974	ONT10X2_19	NK	A	153
GSE276974	ONT10X2_19	NK	AB	699
GSE276974	ONT10X2_19	NK	ABC	337
GSE276974	ONT10X2_19	NK	AC	4
GSE276974	ONT10X2_19	NK	B	460
GSE276974	ONT10X2_19	NK	BC	303
GSE276974	ONT10X2_19	NK	RO	95
GSE276974	ONT10X2_19	NK	other	6
GSE276974	ONT10X2_19	Plasma cell	A	1
GSE276974	ONT10X2_19	Plasma cell	AB	5
GSE276974	ONT10X2_19	Plasma cell	B	15
GSE276974	ONT10X2_19	Plasma cell	RO	10
GSE276974	ONT10X2_19	Progenitor	A	3
GSE276974	ONT10X2_19	Progenitor	AB	40
GSE276974	ONT10X2_19	Progenitor	ABC	10
GSE276974	ONT10X2_19	Progenitor	B	141
GSE276974	ONT10X2_19	Progenitor	BC	15
GSE276974	ONT10X2_19	Progenitor	RO	92
GSE276974	ONT10X2_19	T cell	A	329
GSE276974	ONT10X2_19	T cell	AB	1643
GSE276974	ONT10X2_19	T cell	ABC	709
GSE276974	ONT10X2_19	T cell	AC	2
GSE276974	ONT10X2_19	T cell	B	3804
GSE276974	ONT10X2_19	T cell	BC	1331
GSE276974	ONT10X2_19	T cell	C	31
GSE276974	ONT10X2_19	T cell	RO	3320
GSE276974	ONT10X2_19	T cell	other	86
GSE276974	ONT10X2_19	Unassigned	A	10
GSE276974	ONT10X2_19	Unassigned	AB	47
GSE276974	ONT10X2_19	Unassigned	ABC	5
GSE276974	ONT10X2_19	Unassigned	B	103
GSE276974	ONT10X2_19	Unassigned	BC	15
GSE276974	ONT10X2_19	Unassigned	RO	202
GSE276974	ONT10X2_20	B cell	A	107
GSE276974	ONT10X2_20	B cell	AB	623
GSE276974	ONT10X2_20	B cell	ABC	497
GSE276974	ONT10X2_20	B cell	AC	3
GSE276974	ONT10X2_20	B cell	B	219
GSE276974	ONT10X2_20	B cell	BC	243
GSE276974	ONT10X2_20	B cell	RO	125
GSE276974	ONT10X2_20	B cell	other	7
GSE276974	ONT10X2_20	Dendritic cell	A	7
GSE276974	ONT10X2_20	Dendritic cell	AB	31
GSE276974	ONT10X2_20	Dendritic cell	ABC	13
GSE276974	ONT10X2_20	Dendritic cell	B	4
GSE276974	ONT10X2_20	Dendritic cell	BC	2
GSE276974	ONT10X2_20	Dendritic cell	RO	1
GSE276974	ONT10X2_20	Erythroid	A	1
GSE276974	ONT10X2_20	Erythroid	AB	3
GSE276974	ONT10X2_20	Erythroid	ABC	7
GSE276974	ONT10X2_20	Erythroid	B	38
GSE276974	ONT10X2_20	Erythroid	BC	6
GSE276974	ONT10X2_20	Erythroid	RO	37
GSE276974	ONT10X2_20	Monocyte	A	11
GSE276974	ONT10X2_20	Monocyte	AB	52
GSE276974	ONT10X2_20	Monocyte	ABC	21
GSE276974	ONT10X2_20	Monocyte	B	119
GSE276974	ONT10X2_20	Monocyte	BC	42
GSE276974	ONT10X2_20	Monocyte	C	2
GSE276974	ONT10X2_20	Monocyte	RO	42
GSE276974	ONT10X2_20	Monocyte	other	1
GSE276974	ONT10X2_20	NK	A	153
GSE276974	ONT10X2_20	NK	AB	818
GSE276974	ONT10X2_20	NK	ABC	272
GSE276974	ONT10X2_20	NK	B	484
GSE276974	ONT10X2_20	NK	BC	287
GSE276974	ONT10X2_20	NK	C	2
GSE276974	ONT10X2_20	NK	RO	70
GSE276974	ONT10X2_20	NK	other	19
GSE276974	ONT10X2_20	Plasma cell	AB	10
GSE276974	ONT10X2_20	Plasma cell	ABC	2
GSE276974	ONT10X2_20	Plasma cell	B	1
GSE276974	ONT10X2_20	Plasma cell	BC	2
GSE276974	ONT10X2_20	Progenitor	A	6
GSE276974	ONT10X2_20	Progenitor	AB	50
GSE276974	ONT10X2_20	Progenitor	ABC	19
GSE276974	ONT10X2_20	Progenitor	B	158
GSE276974	ONT10X2_20	Progenitor	BC	38
GSE276974	ONT10X2_20	Progenitor	RO	74
GSE276974	ONT10X2_20	Progenitor	other	5
GSE276974	ONT10X2_20	T cell	A	239
GSE276974	ONT10X2_20	T cell	AB	1765
GSE276974	ONT10X2_20	T cell	ABC	650
GSE276974	ONT10X2_20	T cell	AC	4
GSE276974	ONT10X2_20	T cell	B	3924
GSE276974	ONT10X2_20	T cell	BC	1379
GSE276974	ONT10X2_20	T cell	C	6
GSE276974	ONT10X2_20	T cell	RO	3433
GSE276974	ONT10X2_20	T cell	other	58
GSE276974	ONT10X2_20	Unassigned	A	3
GSE276974	ONT10X2_20	Unassigned	AB	48
GSE276974	ONT10X2_20	Unassigned	ABC	7
GSE276974	ONT10X2_20	Unassigned	B	82
GSE276974	ONT10X2_20	Unassigned	BC	23
GSE276974	ONT10X2_20	Unassigned	C	3
GSE276974	ONT10X2_20	Unassigned	RO	149
GSE276974	ONT10X2_3	B cell	A	99
GSE276974	ONT10X2_3	B cell	AB	557
GSE276974	ONT10X2_3	B cell	ABC	627
GSE276974	ONT10X2_3	B cell	AC	7
GSE276974	ONT10X2_3	B cell	B	233
GSE276974	ONT10X2_3	B cell	BC	171
GSE276974	ONT10X2_3	B cell	RO	278
GSE276974	ONT10X2_3	B cell	other	15
GSE276974	ONT10X2_3	Erythroid	A	4
GSE276974	ONT10X2_3	Erythroid	AB	21
GSE276974	ONT10X2_3	Erythroid	ABC	32
GSE276974	ONT10X2_3	Erythroid	B	20
GSE276974	ONT10X2_3	Erythroid	BC	5
GSE276974	ONT10X2_3	Erythroid	C	3
GSE276974	ONT10X2_3	Erythroid	RO	90
GSE276974	ONT10X2_3	Monocyte	AB	6
GSE276974	ONT10X2_3	Monocyte	ABC	13
GSE276974	ONT10X2_3	Monocyte	B	30
GSE276974	ONT10X2_3	Monocyte	BC	5
GSE276974	ONT10X2_3	Monocyte	RO	27
GSE276974	ONT10X2_3	Monocyte	other	2
GSE276974	ONT10X2_3	NK	A	515
GSE276974	ONT10X2_3	NK	AB	1433
GSE276974	ONT10X2_3	NK	ABC	2073
GSE276974	ONT10X2_3	NK	AC	11
GSE276974	ONT10X2_3	NK	B	1336
GSE276974	ONT10X2_3	NK	BC	1153
GSE276974	ONT10X2_3	NK	C	11
GSE276974	ONT10X2_3	NK	RO	1276
GSE276974	ONT10X2_3	NK	other	71
GSE276974	ONT10X2_3	Plasma cell	A	93
GSE276974	ONT10X2_3	Plasma cell	AB	298
GSE276974	ONT10X2_3	Plasma cell	ABC	60
GSE276974	ONT10X2_3	Plasma cell	AC	7
GSE276974	ONT10X2_3	Plasma cell	B	676
GSE276974	ONT10X2_3	Plasma cell	BC	81
GSE276974	ONT10X2_3	Plasma cell	C	8
GSE276974	ONT10X2_3	Plasma cell	RO	1281
GSE276974	ONT10X2_3	Plasma cell	other	18
GSE276974	ONT10X2_3	Progenitor	A	11
GSE276974	ONT10X2_3	Progenitor	AB	36
GSE276974	ONT10X2_3	Progenitor	ABC	15
GSE276974	ONT10X2_3	Progenitor	B	126
GSE276974	ONT10X2_3	Progenitor	BC	49
GSE276974	ONT10X2_3	Progenitor	C	6
GSE276974	ONT10X2_3	Progenitor	RO	113
GSE276974	ONT10X2_3	Progenitor	other	1
GSE276974	ONT10X2_3	T cell	A	10
GSE276974	ONT10X2_3	T cell	AB	28
GSE276974	ONT10X2_3	T cell	ABC	8
GSE276974	ONT10X2_3	T cell	B	113
GSE276974	ONT10X2_3	T cell	BC	38
GSE276974	ONT10X2_3	T cell	RO	176
GSE276974	ONT10X2_3	T cell	other	8
GSE276974	ONT10X2_3	Unassigned	A	6
GSE276974	ONT10X2_3	Unassigned	AB	16
GSE276974	ONT10X2_3	Unassigned	ABC	4
GSE276974	ONT10X2_3	Unassigned	B	38
GSE276974	ONT10X2_3	Unassigned	BC	12
GSE276974	ONT10X2_3	Unassigned	RO	96
GSE276974	ONT10X2_6	B cell	A	123
GSE276974	ONT10X2_6	B cell	AB	527
GSE276974	ONT10X2_6	B cell	ABC	621
GSE276974	ONT10X2_6	B cell	AC	6
GSE276974	ONT10X2_6	B cell	B	68
GSE276974	ONT10X2_6	B cell	BC	106
GSE276974	ONT10X2_6	B cell	RO	78
GSE276974	ONT10X2_6	B cell	other	6
GSE276974	ONT10X2_6	Dendritic cell	ABC	2
GSE276974	ONT10X2_6	Dendritic cell	B	9
GSE276974	ONT10X2_6	Dendritic cell	RO	6
GSE276974	ONT10X2_6	Erythroid	A	7
GSE276974	ONT10X2_6	Erythroid	AB	9
GSE276974	ONT10X2_6	Erythroid	ABC	8
GSE276974	ONT10X2_6	Erythroid	B	20
GSE276974	ONT10X2_6	Erythroid	BC	4
GSE276974	ONT10X2_6	Erythroid	RO	51
GSE276974	ONT10X2_6	Monocyte	A	11
GSE276974	ONT10X2_6	Monocyte	AB	36
GSE276974	ONT10X2_6	Monocyte	ABC	16
GSE276974	ONT10X2_6	Monocyte	B	99
GSE276974	ONT10X2_6	Monocyte	BC	20
GSE276974	ONT10X2_6	Monocyte	RO	84
GSE276974	ONT10X2_6	NK	A	456
GSE276974	ONT10X2_6	NK	AB	1226
GSE276974	ONT10X2_6	NK	ABC	1999
GSE276974	ONT10X2_6	NK	AC	4
GSE276974	ONT10X2_6	NK	B	1248
GSE276974	ONT10X2_6	NK	BC	1091
GSE276974	ONT10X2_6	NK	C	10
GSE276974	ONT10X2_6	NK	RO	443
GSE276974	ONT10X2_6	NK	other	54
GSE276974	ONT10X2_6	Progenitor	AB	13
GSE276974	ONT10X2_6	Progenitor	ABC	1
GSE276974	ONT10X2_6	Progenitor	B	34
GSE276974	ONT10X2_6	Progenitor	BC	5
GSE276974	ONT10X2_6	Progenitor	RO	38
GSE276974	ONT10X2_6	T cell	A	30
GSE276974	ONT10X2_6	T cell	AB	136
GSE276974	ONT10X2_6	T cell	ABC	128
GSE276974	ONT10X2_6	T cell	B	486
GSE276974	ONT10X2_6	T cell	BC	112
GSE276974	ONT10X2_6	T cell	C	2
GSE276974	ONT10X2_6	T cell	RO	1108
GSE276974	ONT10X2_6	T cell	other	10
GSE276974	ONT10X2_6	Unassigned	A	84
GSE276974	ONT10X2_6	Unassigned	AB	249
GSE276974	ONT10X2_6	Unassigned	ABC	45
GSE276974	ONT10X2_6	Unassigned	AC	3
GSE276974	ONT10X2_6	Unassigned	B	893
GSE276974	ONT10X2_6	Unassigned	BC	155
GSE276974	ONT10X2_6	Unassigned	RO	1432
GSE276974	ONT10X2_6	Unassigned	other	23
GSE276974	ONT10X3_13	B cell	A	250
GSE276974	ONT10X3_13	B cell	AB	333
GSE276974	ONT10X3_13	B cell	ABC	315
GSE276974	ONT10X3_13	B cell	AC	3
GSE276974	ONT10X3_13	B cell	B	67
GSE276974	ONT10X3_13	B cell	BC	110
GSE276974	ONT10X3_13	B cell	RO	113
GSE276974	ONT10X3_13	B cell	other	12
GSE276974	ONT10X3_13	Erythroid	A	5
GSE276974	ONT10X3_13	Erythroid	AB	16
GSE276974	ONT10X3_13	Erythroid	ABC	7
GSE276974	ONT10X3_13	Erythroid	B	17
GSE276974	ONT10X3_13	Erythroid	BC	7
GSE276974	ONT10X3_13	Erythroid	RO	156
GSE276974	ONT10X3_13	Erythroid	other	1
GSE276974	ONT10X3_13	Monocyte	A	6
GSE276974	ONT10X3_13	Monocyte	AB	12
GSE276974	ONT10X3_13	Monocyte	ABC	13
GSE276974	ONT10X3_13	Monocyte	B	31
GSE276974	ONT10X3_13	Monocyte	BC	4
GSE276974	ONT10X3_13	Monocyte	RO	81
GSE276974	ONT10X3_13	Monocyte	other	3
GSE276974	ONT10X3_13	NK	A	203
GSE276974	ONT10X3_13	NK	AB	416
GSE276974	ONT10X3_13	NK	ABC	279
GSE276974	ONT10X3_13	NK	B	199
GSE276974	ONT10X3_13	NK	BC	193
GSE276974	ONT10X3_13	NK	C	8
GSE276974	ONT10X3_13	NK	RO	185
GSE276974	ONT10X3_13	NK	other	26
GSE276974	ONT10X3_13	Plasma cell	A	4
GSE276974	ONT10X3_13	Plasma cell	B	1
GSE276974	ONT10X3_13	Plasma cell	RO	12
GSE276974	ONT10X3_13	Progenitor	A	10
GSE276974	ONT10X3_13	Progenitor	AB	25
GSE276974	ONT10X3_13	Progenitor	ABC	27
GSE276974	ONT10X3_13	Progenitor	B	28
GSE276974	ONT10X3_13	Progenitor	BC	25
GSE276974	ONT10X3_13	Progenitor	RO	148
GSE276974	ONT10X3_13	T cell	A	92
GSE276974	ONT10X3_13	T cell	AB	148
GSE276974	ONT10X3_13	T cell	ABC	38
GSE276974	ONT10X3_13	T cell	B	290
GSE276974	ONT10X3_13	T cell	BC	83
GSE276974	ONT10X3_13	T cell	C	4
GSE276974	ONT10X3_13	T cell	RO	1303
GSE276974	ONT10X3_13	T cell	other	18
GSE276974	ONT10X3_13	Unassigned	A	30
GSE276974	ONT10X3_13	Unassigned	AB	32
GSE276974	ONT10X3_13	Unassigned	ABC	11
GSE276974	ONT10X3_13	Unassigned	B	127
GSE276974	ONT10X3_13	Unassigned	BC	18
GSE276974	ONT10X3_13	Unassigned	C	5
GSE276974	ONT10X3_13	Unassigned	RO	977
GSE276974	ONT10X3_13	Unassigned	other	17
GSE276974	SRR30639545	B cell	A	135
GSE276974	SRR30639545	B cell	AB	852
GSE276974	SRR30639545	B cell	ABC	656
GSE276974	SRR30639545	B cell	B	215
GSE276974	SRR30639545	B cell	BC	380
GSE276974	SRR30639545	B cell	RO	84
GSE276974	SRR30639545	B cell	other	9
GSE276974	SRR30639545	Dendritic cell	AB	17
GSE276974	SRR30639545	Dendritic cell	ABC	9
GSE276974	SRR30639545	Dendritic cell	B	1
GSE276974	SRR30639545	Dendritic cell	BC	6
GSE276974	SRR30639545	Erythroid	AB	6
GSE276974	SRR30639545	Erythroid	ABC	2
GSE276974	SRR30639545	Erythroid	B	18
GSE276974	SRR30639545	Erythroid	BC	12
GSE276974	SRR30639545	Erythroid	RO	49
GSE276974	SRR30639545	Erythroid	other	8
GSE276974	SRR30639545	Monocyte	A	11
GSE276974	SRR30639545	Monocyte	AB	62
GSE276974	SRR30639545	Monocyte	ABC	27
GSE276974	SRR30639545	Monocyte	B	175
GSE276974	SRR30639545	Monocyte	BC	21
GSE276974	SRR30639545	Monocyte	RO	46
GSE276974	SRR30639545	Monocyte	other	4
GSE276974	SRR30639545	NK	A	172
GSE276974	SRR30639545	NK	AB	891
GSE276974	SRR30639545	NK	ABC	394
GSE276974	SRR30639545	NK	B	468
GSE276974	SRR30639545	NK	BC	418
GSE276974	SRR30639545	NK	RO	145
GSE276974	SRR30639545	NK	other	17
GSE276974	SRR30639545	Plasma cell	A	1
GSE276974	SRR30639545	Plasma cell	AB	24
GSE276974	SRR30639545	Plasma cell	ABC	4
GSE276974	SRR30639545	Plasma cell	B	18
GSE276974	SRR30639545	Plasma cell	BC	3
GSE276974	SRR30639545	Plasma cell	RO	6
GSE276974	SRR30639545	Progenitor	A	4
GSE276974	SRR30639545	Progenitor	AB	49
GSE276974	SRR30639545	Progenitor	ABC	19
GSE276974	SRR30639545	Progenitor	B	158
GSE276974	SRR30639545	Progenitor	BC	31
GSE276974	SRR30639545	Progenitor	RO	58
GSE276974	SRR30639545	Progenitor	other	11
GSE276974	SRR30639545	T cell	A	315
GSE276974	SRR30639545	T cell	AB	1823
GSE276974	SRR30639545	T cell	ABC	775
GSE276974	SRR30639545	T cell	AC	5
GSE276974	SRR30639545	T cell	B	4300
GSE276974	SRR30639545	T cell	BC	1436
GSE276974	SRR30639545	T cell	C	26
GSE276974	SRR30639545	T cell	RO	4215
GSE276974	SRR30639545	T cell	other	95
GSE276974	SRR30639545	Unassigned	A	5
GSE276974	SRR30639545	Unassigned	AB	39
GSE276974	SRR30639545	Unassigned	ABC	4
GSE276974	SRR30639545	Unassigned	B	43
GSE276974	SRR30639545	Unassigned	BC	12
GSE276974	SRR30639545	Unassigned	RO	56
GSE276974	SRR30639545	Unassigned	other	4
GSE276974	SRR30639548	B cell	A	56
GSE276974	SRR30639548	B cell	AB	211
GSE276974	SRR30639548	B cell	ABC	558
GSE276974	SRR30639548	B cell	B	148
GSE276974	SRR30639548	B cell	BC	117
GSE276974	SRR30639548	B cell	RO	148
GSE276974	SRR30639548	B cell	other	9
GSE276974	SRR30639548	Dendritic cell	A	2
GSE276974	SRR30639548	Dendritic cell	AB	26
GSE276974	SRR30639548	Dendritic cell	ABC	57
GSE276974	SRR30639548	Dendritic cell	B	22
GSE276974	SRR30639548	Dendritic cell	BC	7
GSE276974	SRR30639548	Dendritic cell	RO	6
GSE276974	SRR30639548	Erythroid	A	1
GSE276974	SRR30639548	Erythroid	AB	6
GSE276974	SRR30639548	Erythroid	ABC	2
GSE276974	SRR30639548	Erythroid	B	56
GSE276974	SRR30639548	Erythroid	BC	4
GSE276974	SRR30639548	Erythroid	RO	65
GSE276974	SRR30639548	Monocyte	A	44
GSE276974	SRR30639548	Monocyte	AB	112
GSE276974	SRR30639548	Monocyte	ABC	80
GSE276974	SRR30639548	Monocyte	B	597
GSE276974	SRR30639548	Monocyte	BC	123
GSE276974	SRR30639548	Monocyte	RO	305
GSE276974	SRR30639548	Monocyte	other	2
GSE276974	SRR30639548	NK	A	210
GSE276974	SRR30639548	NK	AB	688
GSE276974	SRR30639548	NK	ABC	1629
GSE276974	SRR30639548	NK	AC	13
GSE276974	SRR30639548	NK	B	377
GSE276974	SRR30639548	NK	BC	544
GSE276974	SRR30639548	NK	C	2
GSE276974	SRR30639548	NK	RO	167
GSE276974	SRR30639548	NK	other	30
GSE276974	SRR30639548	Plasma cell	A	8
GSE276974	SRR30639548	Plasma cell	AB	2
GSE276974	SRR30639548	Plasma cell	ABC	26
GSE276974	SRR30639548	Plasma cell	B	9
GSE276974	SRR30639548	Plasma cell	BC	7
GSE276974	SRR30639548	Plasma cell	RO	22
GSE276974	SRR30639548	Progenitor	A	17
GSE276974	SRR30639548	Progenitor	AB	70
GSE276974	SRR30639548	Progenitor	ABC	61
GSE276974	SRR30639548	Progenitor	B	131
GSE276974	SRR30639548	Progenitor	BC	62
GSE276974	SRR30639548	Progenitor	RO	101
GSE276974	SRR30639548	Progenitor	other	2
GSE276974	SRR30639548	T cell	A	177
GSE276974	SRR30639548	T cell	AB	792
GSE276974	SRR30639548	T cell	ABC	362
GSE276974	SRR30639548	T cell	B	3503
GSE276974	SRR30639548	T cell	BC	545
GSE276974	SRR30639548	T cell	C	2
GSE276974	SRR30639548	T cell	RO	4048
GSE276974	SRR30639548	T cell	other	51
GSE276974	SRR30639548	Unassigned	A	11
GSE276974	SRR30639548	Unassigned	AB	38
GSE276974	SRR30639548	Unassigned	ABC	8
GSE276974	SRR30639548	Unassigned	B	63
GSE276974	SRR30639548	Unassigned	BC	4
GSE276974	SRR30639548	Unassigned	RO	190
GSE276974	SRR30639548	Unassigned	other	2
GSE276974	SRR30639551	B cell	A	108
GSE276974	SRR30639551	B cell	AB	273
GSE276974	SRR30639551	B cell	ABC	294
GSE276974	SRR30639551	B cell	AC	3
GSE276974	SRR30639551	B cell	B	72
GSE276974	SRR30639551	B cell	BC	62
GSE276974	SRR30639551	B cell	RO	154
GSE276974	SRR30639551	B cell	other	3
GSE276974	SRR30639551	Dendritic cell	ABC	4
GSE276974	SRR30639551	Erythroid	A	238
GSE276974	SRR30639551	Erythroid	AB	344
GSE276974	SRR30639551	Erythroid	ABC	245
GSE276974	SRR30639551	Erythroid	AC	1
GSE276974	SRR30639551	Erythroid	B	462
GSE276974	SRR30639551	Erythroid	BC	160
GSE276974	SRR30639551	Erythroid	C	19
GSE276974	SRR30639551	Erythroid	RO	1598
GSE276974	SRR30639551	Erythroid	other	29
GSE276974	SRR30639551	Monocyte	A	23
GSE276974	SRR30639551	Monocyte	AB	16
GSE276974	SRR30639551	Monocyte	ABC	10
GSE276974	SRR30639551	Monocyte	B	5
GSE276974	SRR30639551	Monocyte	BC	11
GSE276974	SRR30639551	Monocyte	C	3
GSE276974	SRR30639551	Monocyte	RO	38
GSE276974	SRR30639551	Monocyte	other	4
GSE276974	SRR30639551	NK	A	3
GSE276974	SRR30639551	NK	AB	2
GSE276974	SRR30639551	NK	ABC	8
GSE276974	SRR30639551	NK	B	4
GSE276974	SRR30639551	NK	BC	7
GSE276974	SRR30639551	NK	C	2
GSE276974	SRR30639551	NK	RO	6
GSE276974	SRR30639551	NK	other	1
GSE276974	SRR30639551	Plasma cell	B	1
GSE276974	SRR30639551	Progenitor	A	1
GSE276974	SRR30639551	T cell	A	3
GSE276974	SRR30639551	T cell	AB	17
GSE276974	SRR30639551	T cell	ABC	3
GSE276974	SRR30639551	T cell	B	7
GSE276974	SRR30639551	T cell	BC	10
GSE276974	SRR30639551	T cell	RO	52
GSE276974	SRR30639551	T cell	other	2
GSE276974	SRR30639551	Unassigned	B	8
GSE276974	SRR30639551	Unassigned	RO	59
GSE276974	SRR30639552	B cell	A	183
GSE276974	SRR30639552	B cell	AB	441
GSE276974	SRR30639552	B cell	ABC	364
GSE276974	SRR30639552	B cell	AC	5
GSE276974	SRR30639552	B cell	B	84
GSE276974	SRR30639552	B cell	BC	120
GSE276974	SRR30639552	B cell	RO	106
GSE276974	SRR30639552	B cell	other	16
GSE276974	SRR30639552	Erythroid	A	1
GSE276974	SRR30639552	Erythroid	AB	17
GSE276974	SRR30639552	Erythroid	ABC	3
GSE276974	SRR30639552	Erythroid	B	28
GSE276974	SRR30639552	Erythroid	BC	4
GSE276974	SRR30639552	Erythroid	RO	210
GSE276974	SRR30639552	Monocyte	A	23
GSE276974	SRR30639552	Monocyte	AB	18
GSE276974	SRR30639552	Monocyte	ABC	21
GSE276974	SRR30639552	Monocyte	B	77
GSE276974	SRR30639552	Monocyte	BC	4
GSE276974	SRR30639552	Monocyte	RO	129
GSE276974	SRR30639552	Monocyte	other	6
GSE276974	SRR30639552	NK	A	260
GSE276974	SRR30639552	NK	AB	517
GSE276974	SRR30639552	NK	ABC	542
GSE276974	SRR30639552	NK	AC	3
GSE276974	SRR30639552	NK	B	268
GSE276974	SRR30639552	NK	BC	228
GSE276974	SRR30639552	NK	RO	122
GSE276974	SRR30639552	NK	other	14
GSE276974	SRR30639552	Plasma cell	A	7
GSE276974	SRR30639552	Plasma cell	AB	3
GSE276974	SRR30639552	Plasma cell	ABC	11
GSE276974	SRR30639552	Progenitor	A	8
GSE276974	SRR30639552	Progenitor	AB	12
GSE276974	SRR30639552	Progenitor	ABC	17
GSE276974	SRR30639552	Progenitor	B	44
GSE276974	SRR30639552	Progenitor	BC	13
GSE276974	SRR30639552	Progenitor	C	4
GSE276974	SRR30639552	Progenitor	RO	136
GSE276974	SRR30639552	T cell	A	129
GSE276974	SRR30639552	T cell	AB	193
GSE276974	SRR30639552	T cell	ABC	50
GSE276974	SRR30639552	T cell	B	524
GSE276974	SRR30639552	T cell	BC	59
GSE276974	SRR30639552	T cell	RO	1640
GSE276974	SRR30639552	T cell	other	19
GSE276974	SRR30639552	Unassigned	A	33
GSE276974	SRR30639552	Unassigned	AB	66
GSE276974	SRR30639552	Unassigned	ABC	27
GSE276974	SRR30639552	Unassigned	B	101
GSE276974	SRR30639552	Unassigned	BC	25
GSE276974	SRR30639552	Unassigned	C	3
GSE276974	SRR30639552	Unassigned	RO	1080
GSE276974	SRR30639552	Unassigned	other	12
GSE276974	SRR30639553	B cell	A	146
